start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label
2002,2011,10,10,40-49,-0.6242082204084348,0.5356854054202227,0.5188215669168079,0.5530973881551104,4.569e-320,117076,3997,TRUE,Unadjusted
2002,2011,10,10,50-59,-0.6060890123409629,0.5454800685404069,0.5330633327581671,0.5581860294822318,0,99832,7497,TRUE,Unadjusted
2002,2011,10,10,60-69,-0.5323195365387204,0.5872412611416277,0.57552179422028,0.5991993739427663,0,65547,10576,TRUE,Unadjusted
2002,2011,10,10,70-79,-0.3684289030848299,0.6918203941455364,0.679952968221151,0.7038949458634002,0,40725,14618,TRUE,Unadjusted
2002,2011,10,10,80-89,-0.18093237392005018,0.8344917901961687,0.8204604893990197,0.848763050631355,4.0976157917533067e-97,23178,15641,TRUE,Unadjusted
2003,2012,10,10,18-29,-0.3551400298100112,0.7010752648986405,0.6513333452510113,0.7546159437964622,3.133767994831862e-21,130759,1250,TRUE,Unadjusted
2003,2012,10,10,30-39,-0.5447538380058519,0.5799845359189326,0.5499411299027251,0.6116692198755886,1.2657247324741121e-89,112298,1808,TRUE,Unadjusted
2003,2012,10,10,40-49,-0.6381409665727299,0.5282735900128824,0.5113313081654524,0.5457772318036878,4.15e-322,118731,3845,TRUE,Unadjusted
2003,2012,10,10,50-59,-0.611879836468875,0.542330417736743,0.5298714696483315,0.5550823149578427,0,104590,7477,TRUE,Unadjusted
2003,2012,10,10,60-69,-0.5398613762807227,0.5828290407035961,0.5710883594848659,0.5948110919190885,0,70000,10564,TRUE,Unadjusted
2003,2012,10,10,70-79,-0.3728908934368382,0.6887403748398484,0.6766744998565304,0.7010213980800372,0,41638,14145,TRUE,Unadjusted
2003,2012,10,10,80-89,-0.1788562772300571,0.836226075488676,0.8221567027107477,0.8505362141080937,8.00247305996705e-95,24234,15757,TRUE,Unadjusted
2004,2013,10,10,18-29,-0.37381312927265353,0.6881054865879457,0.63910457599202,0.7408633554805678,3.487187103771492e-23,134014,1216,TRUE,Unadjusted
2004,2013,10,10,30-39,-0.5682274571028093,0.5665287457387761,0.5362691903396989,0.5984957285072494,1.602167053317233e-91,114235,1725,TRUE,Unadjusted
2004,2013,10,10,40-49,-0.6374354058933434,0.5286464506083735,0.5109921398627113,0.5469107016321545,3.4848066788446383e-296,119992,3630,TRUE,Unadjusted
