start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label,strat_var,stratum
2005,2014,10,10,40-49,-0.6337052076438615,0.5306220891439163,0.505364995726292,0.5571414796602737,4.491716835270818e-143,57898,1921,TRUE,Male,sex,Male
2005,2014,10,10,50-59,-0.5958020939553025,0.5511203382455365,0.533707457551148,0.5691013361917773,1.1593094454407676e-289,54078,3982,TRUE,Male,sex,Male
2005,2014,10,10,60-69,-0.5406936352107808,0.5823441778234911,0.5660488145294934,0.5991086505972146,3.7756702632836666e-305,37376,5619,TRUE,Male,sex,Male
2005,2014,10,10,70-79,-0.40178537069469294,0.6691243439727066,0.6515235004690202,0.6872006725384333,8.317853312632564e-192,20239,6595,TRUE,Male,sex,Male
2005,2014,10,10,80-89,-0.2106446566883199,0.8100618658105986,0.7878076994506269,0.8329446727902577,1.0756167922797073e-49,9999,6295,TRUE,Male,sex,Male
1986,1995,10,10,18-29,-0.45800520178260384,0.6325441858414634,0.5800561426244761,0.6897817601439821,3.6633857560724064e-25,98803,720,TRUE,Female,sex,Female
1986,1995,10,10,30-39,-0.5600834253489393,0.571161412521038,0.5407911563671268,0.6032372299586252,8.854120722759629e-90,94112,1396,TRUE,Female,sex,Female
1986,1995,10,10,40-49,-0.5473756865260817,0.5784658960135106,0.5557596786880457,0.6020998026352705,4.037675488206175e-158,73733,2480,TRUE,Female,sex,Female
1986,1995,10,10,50-59,-0.5184525772583402,0.5954412347486202,0.5776376673159096,0.613793532001538,1.1332902345371683e-245,52321,4341,TRUE,Female,sex,Female
1986,1995,10,10,60-69,-0.4373974190615414,0.6457147610567946,0.6324600282117764,0.6592472789553434,0,49110,9315,TRUE,Female,sex,Female
1986,1995,10,10,70-79,-0.3057853775009461,0.7365446815538721,0.7245294362422761,0.7487591818752393,1.0332611851244624e-290,35901,14064,TRUE,Female,sex,Female
1986,1995,10,10,80-89,-0.1704232648713683,0.8433077984782531,0.8282280354356379,0.8586621226848136,1.6485440235954244e-76,15080,10425,TRUE,Female,sex,Female
1987,1996,10,10,18-29,-0.48074501733700054,0.6183225591368767,0.5655318468119375,0.6760411271139509,4.66024911844888e-26,97716,724,TRUE,Female,sex,Female
1987,1996,10,10,30-39,-0.5732536288133375,0.5636884189482783,0.5332337734778732,0.5958824242958323,5.433621971203692e-91,94221,1412,TRUE,Female,sex,Female
1987,1996,10,10,40-49,-0.5574287350155955,0.5726796835797352,0.550337628869121,0.5959287586038937,6.139830699449266e-166,74871,2520,TRUE,Female,sex,Female
1987,1996,10,10,50-59,-0.5113700684032139,0.5996734221275187,0.5816446990252023,0.6182609655152168,1.9379556749100832e-236,52320,4316,TRUE,Female,sex,Female
1987,1996,10,10,60-69,-0.4472193635076478,0.6394036310661997,0.6261383783856889,0.6529499189535469,0,48642,9202,TRUE,Female,sex,Female
1987,1996,10,10,70-79,-0.30788829088292197,0.7349974193360186,0.7227904981269677,0.7474104983816628,2.6322371911769477e-284,35807,13988,TRUE,Female,sex,Female
1987,1996,10,10,80-89,-0.17671424292245977,0.8380192202344368,0.8231197582469059,0.8531883804831182,4.696082253951159e-83,15133,10480,TRUE,Female,sex,Female
1988,1997,10,10,18-29,-0.503821383212746,0.604217296570294,0.5523056371598203,0.6610081753865424,4.157705292683511e-28,93749,701,TRUE,Female,sex,Female
1988,1997,10,10,30-39,-0.5892340331325825,0.5547520437232079,0.5243634957837987,0.5869017055717486,2.1629513703368745e-93,92249,1379,TRUE,Female,sex,Female
1988,1997,10,10,40-49,-0.5746568957367573,0.5628979683711384,0.5410302659878374,0.5856495333358634,9.799034893521811e-178,74989,2485,TRUE,Female,sex,Female
1988,1997,10,10,50-59,-0.520272900873432,0.5943583249297915,0.5762821268640632,0.6130015177386839,4.706881708294366e-239,51492,4154,TRUE,Female,sex,Female
1988,1997,10,10,60-69,-0.4559675666398541,0.6338343941443584,0.6204825415122407,0.6474735585971685,0,46572,8809,TRUE,Female,sex,Female
1988,1997,10,10,70-79,-0.31240974631326307,0.7316816629342892,0.7193280580123351,0.7442474263461949,3.6483319411399245e-283,34999,13630,TRUE,Female,sex,Female
1988,1997,10,10,80-89,-0.1836980974927288,0.8321870052489974,0.8174149907260135,0.8472259740308863,7.013409170342071e-90,15163,10583,TRUE,Female,sex,Female
1989,1998,10,10,18-29,-0.4994269575781257,0.6068783271153876,0.5528146244941599,0.6662293065408262,9.512669714542606e-26,89357,661,TRUE,Female,sex,Female
1989,1998,10,10,30-39,-0.5907450282465403,0.5539144490557687,0.5233101131488528,0.5863085943945481,2.9891906219751392e-92,89265,1354,TRUE,Female,sex,Female
1989,1998,10,10,40-49,-0.5863790692178265,0.5563381037844883,0.5347196243970032,0.5788306087915758,7.051072048584703e-185,74156,2474,TRUE,Female,sex,Female
1989,1998,10,10,50-59,-0.5293765912663692,0.5889720255581441,0.5708371070212443,0.6076830721468031,2.423934683384861e-241,50639,4029,TRUE,Female,sex,Female
1989,1998,10,10,60-69,-0.4723677249607426,0.6235241853490211,0.6100748584131241,0.6372700076945129,0,44173,8325,TRUE,Female,sex,Female
1989,1998,10,10,70-79,-0.32063683563476986,0.7256867467078417,0.71312777617156,0.7384668946350504,9.183487126687677e-284,33689,13083,TRUE,Female,sex,Female
1989,1998,10,10,80-89,-0.18563350607876833,0.8305779409745243,0.8154740488584181,0.8459615814865166,1.8056561461477523e-87,15013,10525,TRUE,Female,sex,Female
1990,1999,10,10,18-29,-0.5275952998655121,0.5900220913215187,0.5371103968950105,0.6481462102761476,3.5818323946348103e-28,85671,633,TRUE,Female,sex,Female
1990,1999,10,10,30-39,-0.5791440271139503,0.5603778295605126,0.5292943024223481,0.5932867790675316,4.888270211310319e-88,86320,1326,TRUE,Female,sex,Female
1990,1999,10,10,40-49,-0.6063229867604342,0.5453524550877609,0.5239988115655275,0.5675762877814399,1.6451348293942745e-194,73233,2399,TRUE,Female,sex,Female
1990,1999,10,10,50-59,-0.5531549273474571,0.5751324439825213,0.5571160628299408,0.5937314505725847,2.4733088972184093e-254,50043,3866,TRUE,Female,sex,Female
1990,1999,10,10,60-69,-0.4878925034476438,0.6139188636571413,0.6001912162579804,0.6279604914978865,0,42249,7876,TRUE,Female,sex,Female
1990,1999,10,10,70-79,-0.33463309622991383,0.715600594748044,0.7028621765168156,0.7285698794342549,6.285023685707561e-292,32581,12580,TRUE,Female,sex,Female
1990,1999,10,10,80-89,-0.188760931520613,0.827984428013578,0.8127891981795181,0.8434637352077049,9.322394083604194e-89,14886,10467,TRUE,Female,sex,Female
1991,2000,10,10,18-29,-0.5383955436440316,0.5836839969914009,0.5296862227784969,0.6431864634061393,1.5963543495799275e-27,82245,604,TRUE,Female,sex,Female
1991,2000,10,10,30-39,-0.5916078218662414,0.553436741314493,0.5225647939421164,0.5861325335872752,9.514398049296841e-91,83101,1302,TRUE,Female,sex,Female
1991,2000,10,10,40-49,-0.6182780776122044,0.5388715341302276,0.5177009542699166,0.5609078521119871,8.209557024112042e-201,72521,2403,TRUE,Female,sex,Female
1991,2000,10,10,50-59,-0.5556489481178933,0.5736998389374298,0.5555737796133882,0.5924172761102376,3.194008871521692e-252,49484,3763,TRUE,Female,sex,Female
1991,2000,10,10,60-69,-0.4920420152322372,0.6113766781596585,0.5972779155958845,0.6258082424236783,0,40189,7363,TRUE,Female,sex,Female
1991,2000,10,10,70-79,-0.3426330466912898,0.7098986634338437,0.6969501884243404,0.7230877051407328,2.238821763537137e-291,31461,12079,TRUE,Female,sex,Female
1991,2000,10,10,80-89,-0.19945010413667766,0.819181093541105,0.8038085650362189,0.8348476157192521,1.3244752988550984e-94,14769,10340,TRUE,Female,sex,Female
1992,2001,10,10,18-29,-0.5466589199925113,0.5788806696387541,0.5251268609581884,0.6381369048042161,4.086388088176048e-28,79157,593,TRUE,Female,sex,Female
1992,2001,10,10,30-39,-0.6094554760130126,0.543646817224182,0.5126469316211716,0.5765212735075643,5.130061405819714e-92,79860,1253,TRUE,Female,sex,Female
1992,2001,10,10,40-49,-0.6380253331395386,0.5283346796336932,0.5074385124252994,0.550091344800577,7.794932596430446e-211,71417,2365,TRUE,Female,sex,Female
1992,2001,10,10,50-59,-0.5670383356778482,0.5672028179055895,0.5487665802013629,0.5862584352749589,5.449630661911731e-248,49013,3629,TRUE,Female,sex,Female
1992,2001,10,10,60-69,-0.49685588817643794,0.6084406609865498,0.5939831750668332,0.6232500405421346,0,38279,6903,TRUE,Female,sex,Female
1992,2001,10,10,70-79,-0.3463089547106643,0.7072939315543785,0.6940291136688562,0.7208122768353236,1.750524162489757e-281,30134,11486,TRUE,Female,sex,Female
1992,2001,10,10,80-89,-0.19889839743880397,0.8196331659313992,0.8040775034887402,0.8354897678145724,5.148424428324717e-92,14518,10155,TRUE,Female,sex,Female
1993,2002,10,10,18-29,-0.5311480303466363,0.5879296210455204,0.5307007776325291,0.6513298149754624,2.8285488035685546e-24,74808,549,TRUE,Female,sex,Female
1993,2002,10,10,30-39,-0.5999179460757805,0.548856670090008,0.5167642558300231,0.5829421073608052,8.11244221557059e-85,75316,1199,TRUE,Female,sex,Female
