survey,term,covariate,covariate_label,level,reference,year,coefficient,se,ci_lower,ci_upper,n_unweighted
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2000,0.66298,0.057119,0.550969,0.774991,2303
GSS,age,age,Age,age,NA,2002,-0.008509,0.001181,-0.010825,-0.006193,1838
GSS,sexFemale,sex,Sex,Female,Male,2002,0.036947,0.039889,-0.041285,0.115179,1838
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2002,-0.171612,0.061027,-0.291302,-0.051921,1838
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2002,-0.03035,0.075912,-0.179235,0.118534,1838
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2002,-0.28742,0.165184,-0.611388,0.036548,1838
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2002,0.315452,0.063723,0.190475,0.440429,1838
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2002,0.607073,0.070103,0.469582,0.744564,1838
GSS,age,age,Age,age,NA,2004,-0.008032,0.001392,-0.010763,-0.0053,1350
GSS,sexFemale,sex,Sex,Female,Male,2004,0.005161,0.045696,-0.084483,0.094805,1350
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2004,-0.164085,0.066303,-0.294155,-0.034016,1350
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2004,-0.236756,0.087775,-0.408946,-0.064565,1350
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2004,-0.169856,0.137874,-0.440327,0.100615,1350
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2004,0.476934,0.078466,0.323004,0.630864,1350
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2004,0.761949,0.081087,0.602879,0.92102,1350
GSS,age,age,Age,age,NA,2006,-0.010915,9.39e-4,-0.012757,-0.009073,3501
GSS,sexFemale,sex,Sex,Female,Male,2006,-0.04046,0.030115,-0.099504,0.018584,3501
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2006,-0.194427,0.047907,-0.288356,-0.100498,3501
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2006,-0.123158,0.046015,-0.213377,-0.032939,3501
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2006,-0.325,0.094684,-0.510641,-0.139359,3501
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2006,0.377958,0.049268,0.28136100000000003,0.474556,3501
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2006,0.689647,0.053808,0.58415,0.795145,3501
GSS,age,age,Age,age,NA,2008,-0.010014,0.001403,-0.012766,-0.007262,1346
