cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx,survey
10,1.2806537484772e-4,0.0083187572472187,0.0153947724451915,0.987717234737893,10,1954.5,-0.01617669882970093,0.01643282957939637,NA,Constant/non-significant,1954,CPS
11,-0.0328371043315044,0.00793438267379174,-4.1385833884682,3.49464483683328e-5,11,1959.5,-0.04838849437213621,-0.01728571429087259,***,Accumulating disadvantage,1960,CPS
12,-0.100360879659495,0.00780780195326536,-12.853922302361,8.19082114288385e-38,12,1964.5,-0.11566417148789512,-0.08505758783109489,***,Accumulating disadvantage,1964,CPS
13,-0.121256026884347,0.00789838525226663,-15.3520020879648,3.447081385743379e-53,13,1969.5,-0.1367368619787896,-0.1057751917899044,***,Accumulating disadvantage,1970,CPS
14,-0.102572197839016,0.00764484271097187,-13.417175698305,4.806968954809448e-41,14,1974.5,-0.11755608955252086,-0.08758830612551113,***,Accumulating disadvantage,1974,CPS
15,-0.0795749410770636,0.00735665628659035,-10.8167267814472,2.87105877347523e-27,15,1979.5,-0.09399398739878068,-0.06515589475534651,***,Accumulating disadvantage,1980,CPS
16,-0.106814652996468,0.0071999452200745,-14.8354813448654,8.66643042078541e-50,16,1984.5,-0.12092654562781402,-0.09270276036512198,***,Accumulating disadvantage,1984,CPS
17,-0.103824109382152,0.00732155312448975,-14.1806127220291,1.2111692444696498e-45,17,1989.5,-0.11817435350615192,-0.0894738652581521,***,Accumulating disadvantage,1990,CPS
18,-0.0835668768563463,0.00783408732726868,-10.6670851836779,1.45234724857708e-26,18,1994.5,-0.09892168801779291,-0.06821206569489968,***,Accumulating disadvantage,1994,CPS
19,-0.0144476132501466,0.00819003631090253,-1.76404752087777,0.0777240603136258,19,1999.5,-0.03050008441951555,0.00160485791922235,.,Constant/non-significant,2000,CPS
20,NA,NA,NA,NA,20,2004.5,NA,NA,NA,Not estimable,2004,CPS
1,NA,NA,NA,NA,1,1904.5,NA,NA,NA,Not estimable,1904,BRFSS
2,0.0469074799163668,0.0324762752069614,1.44436144900977,0.148637474898445,2,1909.5,-0.01674601948927754,0.11056097932201114,NA,Constant/non-significant,1910,BRFSS
3,0.0175505854616844,0.0270428231881114,0.648992353335358,0.516343388204104,3,1914.5,-0.03545334798701394,0.07055451891038274,NA,Constant/non-significant,1914,BRFSS
4,0.0576109263323115,0.0246500741819322,2.33715022141957,0.0194314659055082,4,1919.5,0.00929678093572438,0.10592507172889862,*,Accumulating advantage,1920,BRFSS
5,0.0536845149257112,0.0249987112841968,2.14749129726733,0.0317543009532153,5,1924.5,0.00468704080868546,0.10268198904273693,*,Accumulating advantage,1924,BRFSS
6,0.0806240147705037,0.0254017748140913,3.1739520313273,0.00150380662583198,6,1929.5,0.03083653613488474,0.13041149340612265,**,Accumulating advantage,1930,BRFSS
7,0.0428424232227196,0.0231853629103973,1.84782198097521,0.0646282374961502,7,1934.5,-0.00260088808165911,0.08828573452709831,.,Constant/non-significant,1934,BRFSS
8,0.0783080820286981,0.0463999780353976,1.68767498055621,0.0914737824286549,8,1939.5,-0.0126358749206812,0.1692520389780774,.,Constant/non-significant,1940,BRFSS
9,0.0095838388825074,0.0579133449226425,0.16548584605688,0.86856160504046,9,1944.5,-0.1039263171658719,0.1230939949308867,NA,Constant/non-significant,1944,BRFSS
10,0.0665543038186373,0.0459568408081898,1.44819144763269,0.147563661881109,10,1949.5,-0.02352110416541469,0.1566297118026893,NA,Constant/non-significant,1950,BRFSS
11,-0.0504030092219186,0.0470894756096485,-1.0703667554028,0.28445437760532,11,1954.5,-0.14269838141682964,0.04189236297299244,NA,Constant/non-significant,1954,BRFSS
12,-0.118473593384892,0.0510102782702894,-2.32254356185106,0.0202037786928204,12,1959.5,-0.21845373879465924,-0.01849344797512477,*,Accumulating disadvantage,1960,BRFSS
13,-0.0567668231797128,0.0639294636173998,-0.88796026069367,0.374562227404421,13,1964.5,-0.1820685718698164,0.06853492551039081,NA,Constant/non-significant,1964,BRFSS
14,-0.0858919677860414,0.0512250613696203,-1.67675675713257,0.0935902025628846,14,1969.5,-0.1862930880704972,0.01450915249841439,.,Constant/non-significant,1970,BRFSS
15,-0.131765315615266,0.0841000882340614,-1.56676786412573,0.11716910892881,15,1974.5,-0.29660148855402635,0.03307085732349435,NA,Constant/non-significant,1974,BRFSS
16,-0.154384274043309,0.0500111655853634,-3.08699611849263,0.00202192812735851,16,1979.5,-0.25240615859062127,-0.05636238949599674,**,Accumulating disadvantage,1980,BRFSS
17,-0.0274323099374605,0.055041325948528,-0.49839478727518,0.618205861241474,17,1984.5,-0.13531330879657538,0.08044868892165438,NA,Constant/non-significant,1984,BRFSS
18,-0.13421611422587,0.0593902338514388,-2.25990210042956,0.0238274273559811,18,1989.5,-0.25062097257469007,-0.01781125587704993,*,Accumulating disadvantage,1990,BRFSS
19,-0.0565146447648815,0.0799220615983197,-0.70712195900199,0.479490767638685,19,1994.5,-0.2131618854975881,0.10013259596782512,NA,Constant/non-significant,1994,BRFSS
20,NA,NA,NA,NA,20,1999.5,NA,NA,NA,Not estimable,2000,BRFSS
