age_group,year,variance,entropy,n_weighted
80-89,2014,0.903194157931784,1.3587019532918039,11484593.217856983
80-89,2015,0.8861012942365452,1.3510818738334207,11429984.593061013
80-89,2016,0.9917516353063887,1.4028478630349506,11780725.686242996
80-89,2017,0.9540451671980645,1.384552991252361,11662026.689907994
80-89,2018,0.9935815078373412,1.4024911920140155,11878025.71170999
80-89,2019,0.9835501952814901,1.3974309807824674,11577514.07436201
80-89,2020,0.8184860296130978,1.311972520259261,12424272.292967994
80-89,2021,0.9530649067673467,1.3838120179659645,12078926.699521985
80-89,2022,0.984854685766828,1.394742096630086,12746214.645374011
80-89,2023,0.9718323239554155,1.38794143039356,13053724.291914014
