age_group,year,srh_cat,prop,se
40-49,2014,Poor,0.018194987136497268,0.0027283732179668283
40-49,2014,Fair,0.10092628942892069,0.00622553702562577
40-49,2014,Good,0.30396371786457516,0.010482518674012243
40-49,2014,Very Good,0.37695585366081424,0.01209582883866791
40-49,2014,Excellent,0.19995915250850058,0.010620628214303752
40-49,2015,Poor,0.021555374400759338,0.003011894319828993
40-49,2015,Fair,0.10124347308162118,0.007009623789497643
40-49,2015,Good,0.31503597551389173,0.011294807668233365
40-49,2015,Very Good,0.36575113523764574,0.011214533697578948
40-49,2015,Excellent,0.1964140420939465,0.008996080671479311
40-49,2016,Poor,0.017835480398669463,0.002318205263281188
40-49,2016,Fair,0.1026650578778809,0.007034934996312621
40-49,2016,Good,0.3065018187824487,0.011128131051656045
40-49,2016,Very Good,0.38291197321321174,0.01289370732031955
40-49,2016,Excellent,0.19008567033668053,0.010019426841613917
40-49,2017,Poor,0.015498483085937046,0.0021833947700748355
40-49,2017,Fair,0.08880337593874799,0.005432683593825139
40-49,2017,Good,0.2933022805446114,0.010196392537596653
40-49,2017,Very Good,0.4009161999740218,0.011103676521023549
40-49,2017,Excellent,0.20147966045971452,0.009703716094853165
40-49,2018,Poor,0.016454875924483837,0.002504168327849538
40-49,2018,Fair,0.08553006652192925,0.004935125096258909
40-49,2018,Good,0.27864546856343725,0.01078511753760147
40-49,2018,Very Good,0.42892186083109723,0.011976791122579178
40-49,2018,Excellent,0.19044772866983015,0.010420627758941037
40-49,2019,Poor,0.01716377471569082,0.002454022339946493
40-49,2019,Fair,0.08440023755981699,0.005807360673120476
40-49,2019,Good,0.30054066513549904,0.011561897083259444
40-49,2019,Very Good,0.39910025491360795,0.012018697954494187
40-49,2019,Excellent,0.19879506925730783,0.009390887647449478
40-49,2020,Poor,0.018382843238034262,0.00332635688117613
40-49,2020,Fair,0.09014292039954583,0.009313514603853802
40-49,2020,Good,0.3078443277834857,0.012330151505330698
40-49,2020,Very Good,0.40945269754028263,0.014841297484288907
40-49,2020,Excellent,0.17417721211687384,0.011243019858868754
40-49,2021,Poor,0.014072123861577676,0.0030262392246181375
40-49,2021,Fair,0.0877790062518087,0.007991213885671363
40-49,2021,Good,0.30770950749438736,0.012975438816248325
40-49,2021,Very Good,0.40689120985063937,0.014069014871041927
40-49,2021,Excellent,0.18354815493849871,0.011258924841322345
40-49,2022,Poor,0.013328872180540787,0.0032272505703185876
40-49,2022,Fair,0.09581502818913805,0.008856038048405056
40-49,2022,Good,0.3018875563118431,0.015304250746262118
40-49,2022,Very Good,0.4130708195013384,0.01723573260296845
40-49,2022,Excellent,0.1758977245682233,0.011873474658729087
40-49,2023,Poor,0.013462210440220808,0.0035561212415465408
40-49,2023,Fair,0.0796405656292112,0.010532877003669765
40-49,2023,Good,0.3204598376839729,0.016575810351026534
40-49,2023,Very Good,0.4021135582114362,0.018849398595100333
40-49,2023,Excellent,0.18432382841470535,0.015015033010909486
50-59,2000,Poor,0.04436228389274536,0.004444553612113528
50-59,2000,Fair,0.13127675749209947,0.006883204081209008
50-59,2000,Good,0.3260545471308572,0.011914275328881967
50-59,2000,Very Good,0.3449000219757219,0.01106572420722101
50-59,2000,Excellent,0.1534063899096361,0.00835120214462963
50-59,2001,Poor,0.03681317907390529,0.003460530036591787
50-59,2001,Fair,0.11935752676338088,0.006005815122459156
50-59,2001,Good,0.3304476615940853,0.009720644032710573
50-59,2001,Very Good,0.3588577182483134,0.009930781101275746
50-59,2001,Excellent,0.15452391532734,0.007417707030622114
50-59,2002,Poor,0.041692651999923724,0.0034471213916004574
50-59,2002,Fair,0.1291146433444451,0.006310971530621724
50-59,2002,Good,0.32455240382967215,0.008134136645575043
50-59,2002,Very Good,0.34744693042329444,0.009307782082444756
50-59,2002,Excellent,0.15719337043736126,0.008137836457213173
50-59,2003,Poor,0.04314784747961469,0.0038021059691490454
50-59,2003,Fair,0.12580339252197764,0.006976329734552793
