srh_cat,year,age_group,prop,se
Good,2017,40-49,0.16039226757702627,0.00574427847489777
Good,2017,50-59,0.19821005681507292,0.006976503213988197
Good,2017,60-69,0.17710513041272843,0.005795809911430614
Good,2017,70-79,0.10662939573909613,0.004846786716757047
Good,2017,80-89,0.06681070869969402,0.004370093244628005
Good,2018,18-29,0.14549553102386872,0.006059631402162612
Good,2018,30-39,0.15808742511679436,0.005345364259138701
Good,2018,40-49,0.1540988597352365,0.005953689850137533
Good,2018,50-59,0.18619831804618536,0.0061274092597763665
Good,2018,60-69,0.17810462526913498,0.005966294326943775
Good,2018,70-79,0.11608809893819244,0.005081519273879378
Good,2018,80-89,0.06192714359021822,0.0036393240441318837
Good,2019,18-29,0.14548805895017897,0.006774190041951854
Good,2019,30-39,0.1423883281841246,0.006322375212734166
Good,2019,40-49,0.1665733503907462,0.00650120121872482
Good,2019,50-59,0.18809244968992772,0.007323930453169719
Good,2019,60-69,0.17670442852762677,0.006251739254504753
Good,2019,70-79,0.1191800096141662,0.005398280847815639
Good,2019,80-89,0.061573377535305326,0.003451170856538912
Good,2020,18-29,0.13417328053678917,0.008098195419152961
Good,2020,30-39,0.15334511576774876,0.007447080259444415
Good,2020,40-49,0.16365158991340006,0.007340428734369415
Good,2020,50-59,0.18408251040659923,0.007968579879215582
Good,2020,60-69,0.17140105274768055,0.007012238784092837
Good,2020,70-79,0.11852807457542497,0.00564318697358128
Good,2020,80-89,0.07481837661031811,0.005316510923398738
Good,2021,18-29,0.14565847238362337,0.008252279709707369
Good,2021,30-39,0.16083797971039854,0.008175810959782029
Good,2021,40-49,0.1602532113631675,0.007607322810443471
Good,2021,50-59,0.17964548194815463,0.007898709960841714
Good,2021,60-69,0.17138959964805273,0.006348612137374289
Good,2021,70-79,0.12111631252066428,0.00609571214506683
Good,2021,80-89,0.06109894324260246,0.004318598623705563
Good,2022,18-29,0.15404783228702115,0.010506450624899326
Good,2022,30-39,0.14955944731000786,0.010118003349764986
Good,2022,40-49,0.15623853590753706,0.009700354869051141
Good,2022,50-59,0.17286459599038456,0.008659507790794678
Good,2022,60-69,0.172947428513523,0.008727257289085905
Good,2022,70-79,0.13380321114506175,0.00728081512649407
Good,2022,80-89,0.060538950656363166,0.004697513662059537
Good,2023,18-29,0.15736306398532943,0.009470122765141968
Good,2023,30-39,0.16583330863386953,0.009396584700667208
Good,2023,40-49,0.15964576048293103,0.009694537920394666
Good,2023,50-59,0.1698288217074415,0.008025771534502658
Good,2023,60-69,0.16671042555463542,0.008158416254357483
Good,2023,70-79,0.12373070758149464,0.007079714809415602
Good,2023,80-89,0.056887912659315386,0.0047026264575996575
Very Good,2000,18-29,0.2408397020070159,0.007029668338850208
Very Good,2000,30-39,0.23619419045930945,0.007489482264977844
Very Good,2000,40-49,0.21836280627335902,0.007875556445502089
Very Good,2000,50-59,0.1482243242415279,0.005799253767782756
Very Good,2000,60-69,0.08963922224570196,0.0050533529910455
Very Good,2000,70-79,0.05049664717195195,0.0037837635112201295
Very Good,2000,80-89,0.01624310879331822,0.0020738074019182877
Very Good,2001,18-29,0.23984269239817183,0.006564277474002703
Very Good,2001,30-39,0.2273747135093034,0.006405803091602026
Very Good,2001,40-49,0.2204178227332461,0.006453603700702061
Very Good,2001,50-59,0.1525219980033248,0.005211145037995851
Very Good,2001,60-69,0.08824711994251797,0.004364910954705218
Very Good,2001,70-79,0.05070566780329626,0.003350480835644866
Very Good,2001,80-89,0.02088998883293254,0.0019974707226477237
Very Good,2002,18-29,0.24370660456090454,0.0055156987063531785
Very Good,2002,30-39,0.2165418335964041,0.005577640620437083
Very Good,2002,40-49,0.21606740364956617,0.005675145357263734
Very Good,2002,50-59,0.15680126096272895,0.005146666960359859
Very Good,2002,60-69,0.09368307792798601,0.004705757022540909
Very Good,2002,70-79,0.05124918017927583,0.0034017484307587256
Very Good,2002,80-89,0.021950639527616635,0.0018836239227256405
Very Good,2003,18-29,0.23683344212558932,0.007199742524979163
Very Good,2003,30-39,0.20381326668448216,0.005954363182884747
Very Good,2003,40-49,0.21788863936695932,0.005683461704407157
Very Good,2003,50-59,0.15581995530745618,0.0048235823636208625
Very Good,2003,60-69,0.10049823007326496,0.0051723522444942155
Very Good,2003,70-79,0.057891003386023855,0.003567344263524429
Very Good,2003,80-89,0.02725546351496822,0.0025291864856609786
Very Good,2004,18-29,0.2369372101035407,0.007036332047758338
Very Good,2004,30-39,0.2043314866075649,0.006205028969831425
Very Good,2004,40-49,0.2153896505230371,0.006811390394334499
Very Good,2004,50-59,0.16179301133898713,0.005449607420152827
Very Good,2004,60-69,0.09961901395627269,0.004854029541512462
Very Good,2004,70-79,0.05423921010032267,0.003509904364163365
Very Good,2004,80-89,0.027690417820763185,0.0027288406163089728
Very Good,2005,18-29,0.23263131775605178,0.007282850328678572
Very Good,2005,30-39,0.1986476574443,0.00647462698066387
Very Good,2005,40-49,0.21709678996083326,0.0060373956771011825
Very Good,2005,50-59,0.16956292379223237,0.0050014432683864445
Very Good,2005,60-69,0.10056869634866317,0.0044349480129464965
Very Good,2005,70-79,0.055448948286117385,0.0035890328036626267
Very Good,2005,80-89,0.026043666699797054,0.002897697204270003
Very Good,2006,18-29,0.2393370037069735,0.007453426143984459
Very Good,2006,30-39,0.1931714048292524,0.006655209346707546
Very Good,2006,40-49,0.20817779537813996,0.006320575094902125
Very Good,2006,50-59,0.1769316987135878,0.006257590565716168
Very Good,2006,60-69,0.10103667808982796,0.004792440413856866
Very Good,2006,70-79,0.05871033217733644,0.0032790266349424333
Very Good,2006,80-89,0.022635087330757142,0.0022817454398142466
Very Good,2007,18-29,0.2327376120081524,0.007362857347383091
Very Good,2007,30-39,0.1963821315997007,0.006192841313961483
Very Good,2007,40-49,0.2051480132665283,0.006874690407753696
Very Good,2007,50-59,0.16873291295376647,0.00553437358507596
Very Good,2007,60-69,0.11106668257331423,0.004717059902391159
Very Good,2007,70-79,0.056987031220291265,0.0035149334353237354
Very Good,2007,80-89,0.028945616453457848,0.00275049073544453
Very Good,2008,18-29,0.2428383714140922,0.007404723491035945
Very Good,2008,30-39,0.18224562016552365,0.005772568878520285
Very Good,2008,40-49,0.1929909630974477,0.0058565815582230125
Very Good,2008,50-59,0.18182233358802596,0.006376190872669866
Very Good,2008,60-69,0.11287539354405225,0.004747794519218293
Very Good,2008,70-79,0.05736276058789195,0.00395477164452243
Very Good,2008,80-89,0.029864557623594787,0.0028926346679890216
Very Good,2009,18-29,0.23543512243305276,0.008389725084976892
Very Good,2009,30-39,0.19246894140345594,0.006251682488825204
Very Good,2009,40-49,0.1944084509213134,0.005963186314165207
Very Good,2009,50-59,0.1767913302758885,0.00602497570409969
Very Good,2009,60-69,0.11320536927154892,0.0050181618717451415
Very Good,2009,70-79,0.05498934477586192,0.0038662112666353124
Very Good,2009,80-89,0.03270144095480837,0.0031775620348972445
Very Good,2010,18-29,0.23746321667931591,0.007313024202150585
Very Good,2010,30-39,0.19582242339670403,0.0053869080531781695
Very Good,2010,40-49,0.1825509963586851,0.0061339980194730056
Very Good,2010,50-59,0.17722688253924537,0.005695107700209673
Very Good,2010,60-69,0.11948269369093767,0.004769458497922567
Very Good,2010,70-79,0.05777682339755213,0.0035189242029580237
Very Good,2010,80-89,0.029676963966678634,0.0028750087007567227
Very Good,2011,18-29,0.2307181826021425,0.0070539032488644874
Very Good,2011,30-39,0.18707153759395154,0.006346575431389322
Very Good,2011,40-49,0.17661936291476887,0.006497233168117417
Very Good,2011,50-59,0.18507812299138643,0.006294562692462815
Very Good,2011,60-69,0.13414253194499862,0.006033075313227347
Very Good,2011,70-79,0.05557594896733595,0.0036388588052225
Very Good,2011,80-89,0.030794313595624002,0.0033130168398259603
Very Good,2012,18-29,0.22287711564098261,0.006755098380307926
Very Good,2012,30-39,0.18394913377309108,0.006261200154588161
Very Good,2012,40-49,0.17816799618294554,0.006442407313803675
Very Good,2012,50-59,0.18496365981782886,0.006713381081246323
Very Good,2012,60-69,0.1326480392707077,0.005926976366900716
Very Good,2012,70-79,0.06475958779178906,0.004256031385003423
Very Good,2012,80-89,0.03263446752507568,0.002785758920171347
Very Good,2013,18-29,0.2278996237476347,0.007129954028733688
Very Good,2013,30-39,0.18789865510225226,0.005816724172540475
Very Good,2013,40-49,0.17022928525177328,0.005624974065724184
Very Good,2013,50-59,0.1831316178701702,0.006847105680345046
