"age","estimate","ci_lower_90","ci_upper_90","model","estimate_centered","ci_lower_centered","ci_upper_centered"
45,3.07317381178964,3.04847445458958,3.09747096883164,"M2: Period Smooth",-0.225840480290791,-0.205348107949971,-0.246833007440613
46,3.05791844291356,3.03276554003765,3.08251580036937,"M2: Period Smooth",-0.241095849166871,-0.221057022501898,-0.261788175902889
47,3.04251108466888,3.01741486069151,3.06709018588586,"M2: Period Smooth",-0.25650320741155,-0.23640770184804,-0.277213790386398
48,3.02711808023613,3.00217442853731,3.05154200431251,"M2: Period Smooth",-0.271896211844303,-0.251648134002243,-0.292761971959747
49,3.01190577279582,2.9869872960655,3.03625212284671,"M2: Period Smooth",-0.287108519284605,-0.266835266474052,-0.308051853425548
50,2.9970405055285,2.97179438319259,3.02138165099911,"M2: Period Smooth",-0.301973786551932,-0.282028179346962,-0.322922325273146
51,2.98268862161467,2.95728720278235,3.0071445273758,"M2: Period Smooth",-0.316325670465758,-0.2965353597572,-0.337159448896456
52,2.96901646423487,2.94307675204511,2.99402323985449,"M2: Period Smooth",-0.329997827845557,-0.310745810494438,-0.350280736417771
53,2.95619037656962,2.92964509944679,2.9819051690484,"M2: Period Smooth",-0.342823915510806,-0.324177463092764,-0.36239880722386
54,2.94437670179945,2.91693122912462,2.97089646217459,"M2: Period Smooth",-0.354637590280979,-0.336891333414928,-0.37340751409767
55,2.93374178310488,2.9054715011093,2.96109776074484,"M2: Period Smooth",-0.365272508975551,-0.348351061430247,-0.383206215527418
56,2.92440176136015,2.89551781431825,2.9523889056088,"M2: Period Smooth",-0.374612530720278,-0.358304748221303,-0.391915070663452
57,2.91627196821439,2.8869941409476,2.94467140070248,"M2: Period Smooth",-0.38274232386604,-0.366828421591954,-0.399632575569781
58,2.90921753301043,2.87962255219615,2.9382533335414,"M2: Period Smooth",-0.389796759069998,-0.374200010343404,-0.406050642730858
59,2.90310358509111,2.87319982491579,2.93235558511292,"M2: Period Smooth",-0.395910706989315,-0.380622737623757,-0.411948391159338
60,2.89779525379928,2.86761545483455,2.92748409100138,"M2: Period Smooth",-0.401219038281149,-0.386207107705002,-0.416819885270872
61,2.89315766847777,2.86272123793211,2.92338676309738,"M2: Period Smooth",-0.405856623602663,-0.391101324607442,-0.420917213174872
62,2.88905595846941,2.85816177325224,2.91992729150308,"M2: Period Smooth",-0.409958333611018,-0.395660789287315,-0.424376684769177
63,2.88535525311705,2.85378328020952,2.91662283613761,"M2: Period Smooth",-0.413659038963374,-0.400039282330027,-0.427681140134651
64,2.88192068176353,2.84951533495403,2.91402311011516,"M2: Period Smooth",-0.417093610316894,-0.404307227585521,-0.430280866157099
65,2.87861737375169,2.84546045568834,2.91185055308992,"M2: Period Smooth",-0.420396918328737,-0.408362106851216,-0.43245342318234
66,2.87531045842436,2.84123138949396,2.90954497779883,"M2: Period Smooth",-0.423703833656066,-0.412591173045588,-0.434758998473428
67,2.87186506512439,2.83697091089062,2.90719244296454,"M2: Period Smooth",-0.42714922695604,-0.416851651648932,-0.437111533307712
68,2.86817087246042,2.83239964564169,2.90433912924157,"M2: Period Smooth",-0.430843419620008,-0.421422916897859,-0.439964847030689
69,2.86421575610436,2.82742610278109,2.90133566941035,"M2: Period Smooth",-0.434798535976066,-0.426396459758465,-0.442968306861906
70,2.86001214099393,2.82246212177713,2.89820902638158,"M2: Period Smooth",-0.439002151086493,-0.431360440762418,-0.446094949890677
71,2.85557245206686,2.81724159793971,2.89438603541765,"M2: Period Smooth",-0.443441840013572,-0.436580964599838,-0.44991794085461
72,2.85090911426084,2.81175959350653,2.89047368631227,"M2: Period Smooth",-0.448105177819585,-0.442062969033018,-0.453830289959986
73,2.84603455251362,2.80622032595318,2.88623016210197,"M2: Period Smooth",-0.452979739566812,-0.447602236586373,-0.458073814170288
74,2.84096119176289,2.80039776604254,2.88173125253336,"M2: Period Smooth",-0.458053100317535,-0.453424796497008,-0.462572723738896
75,2.83570145694639,2.79412254384332,2.87743991460113,"M2: Period Smooth",-0.463312835134036,-0.459700018696231,-0.466864061671122
76,2.83026777300183,2.78789196330991,2.87277735441012,"M2: Period Smooth",-0.468746519078596,-0.465930599229639,-0.471526621862132
77,2.82467256486693,2.78154783203462,2.86799257743148,"M2: Period Smooth",-0.474341727213496,-0.472274730504935,-0.476311398840776
78,2.81892825747941,2.77499244604697,2.86326607465105,"M2: Period Smooth",-0.480086034601019,-0.478830116492583,-0.481037901621207
79,2.81304727577698,2.76808859073316,2.8584804213519,"M2: Period Smooth",-0.485967016303446,-0.485733971806388,-0.485823554920352
80,2.80704204469737,2.76090506937931,2.85373036608861,"M2: Period Smooth",-0.491972247383057,-0.492917493160241,-0.490573610183644
81,2.80092498917829,2.7531122472129,2.84902280210287,"M2: Period Smooth",-0.498089302902135,-0.500710315326647,-0.495281174169388
82,2.79470853415747,2.74563283359973,2.84448625265812,"M2: Period Smooth",-0.504305757922962,-0.508189728939818,-0.49981772361414
83,2.78840510457261,2.73766526468998,2.8398962710914,"M2: Period Smooth",-0.510609187507817,-0.516157297849569,-0.504407705180856
84,2.78202712536144,2.72909197337247,2.83545804587937,"M2: Period Smooth",-0.516987166718984,-0.524730589167083,-0.508845930392888
85,2.77558702146169,2.72060191380063,2.83081409794968,"M2: Period Smooth",-0.523427270618743,-0.533220648738923,-0.513489878322574
