"period","estimate","std_error","ci_lower_90","ci_upper_90","model","type"
1980.55102040816,-0.00914681144256546,NA,-0.066248530030244,0.046083242230194,"M4: Both Smooth","spline"
1981.61224489796,-0.00716711824075933,NA,-0.0612815112650478,0.0452258117560933,"M4: Both Smooth","spline"
1982.67346938776,-0.00415767265523304,NA,-0.0552974251173186,0.0454482679861701,"M4: Both Smooth","spline"
1983.73469387755,-0.000426616448677475,NA,-0.0485487727749909,0.046354887640601,"M4: Both Smooth","spline"
1984.79591836735,0.0037179086162169,NA,-0.041569315688351,0.0475794600637149,"M4: Both Smooth","spline"
1985.85714285714,0.0079677607767592,NA,-0.0344616721061657,0.0491570423060828,"M4: Both Smooth","spline"
1986.91836734694,0.0120147982702594,NA,-0.0277117307593513,0.050713247397518,"M4: Both Smooth","spline"
1987.97959183673,0.0155508793340258,NA,-0.0220970184879383,0.0517098959195916,"M4: Both Smooth","spline"
1989.04081632653,0.0182678622053682,NA,-0.0168098319656544,0.0526084582264446,"M4: Both Smooth","spline"
1990.10204081633,0.019857605121596,NA,-0.0132967401141681,0.0522617324990193,"M4: Both Smooth","spline"
1991.16326530612,0.0200122730576191,NA,-0.0113362583701351,0.0504162694612154,"M4: Both Smooth","spline"
1992.22448979592,0.0185522089635106,NA,-0.0106852298713545,0.0472818424197174,"M4: Both Smooth","spline"
1993.28571428571,0.015623664490771,NA,-0.0118683519257936,0.0426426342370823,"M4: Both Smooth","spline"
1994.34693877551,0.0114239247593231,NA,-0.014400899107085,0.0366408898574027,"M4: Both Smooth","spline"
1995.40816326531,0.00615027488909181,NA,-0.0182483084548863,0.0300392817236732,"M4: Both Smooth","spline"
1996.4693877551,0,NA,-0.0240932831972187,0.0235295461266598,"M4: Both Smooth","spline"
1997.5306122449,-0.00682961478802868,NA,-0.0309281421490599,0.0169471573137518,"M4: Both Smooth","spline"
1998.59183673469,-0.0141412843550683,NA,-0.0389601652178473,0.0101093484131956,"M4: Both Smooth","spline"
1999.65306122449,-0.0217377235811962,NA,-0.0481470107726767,0.00364205731658318,"M4: Both Smooth","spline"
2000.71428571429,-0.0294216473464881,NA,-0.0574144689900882,-0.00252580575017625,"M4: Both Smooth","spline"
2001.77551020408,-0.0369957705310204,NA,-0.0663185230012955,-0.00827750967402219,"M4: Both Smooth","spline"
2002.83673469388,-0.044262808014869,NA,-0.0756307614972331,-0.0135373040557849,"M4: Both Smooth","spline"
2003.89795918367,-0.0510458302560783,NA,-0.084723047022619,-0.0184243821635612,"M4: Both Smooth","spline"
2004.95918367347,-0.0572979020122588,NA,-0.0930593884851607,-0.0226013664229092,"M4: Both Smooth","spline"
2006.02040816327,-0.0630232140343705,NA,-0.100475452235988,-0.0258450890392106,"M4: Both Smooth","spline"
2007.08163265306,-0.0682260794209486,NA,-0.108077650584374,-0.0281426514569372,"M4: Both Smooth","spline"
2008.14285714286,-0.0729108112705283,NA,-0.115366613779215,-0.030299795371536,"M4: Both Smooth","spline"
2009.20408163265,-0.0770817226816449,NA,-0.122157983546409,-0.031578761538186,"M4: Both Smooth","spline"
2010.26530612245,-0.080743126752834,NA,-0.128364424016794,-0.0323778639966181,"M4: Both Smooth","spline"
2011.32653061224,-0.0838993365826304,NA,-0.134463641327802,-0.0323812335125573,"M4: Both Smooth","spline"
2012.38775510204,-0.0865546652695697,NA,-0.140457289118227,-0.0322538606890235,"M4: Both Smooth","spline"
2013.44897959184,-0.0887134259121871,NA,-0.145735141905734,-0.03122780580436,"M4: Both Smooth","spline"
2014.51020408163,-0.0903799316090184,NA,-0.149916299976555,-0.0301037807591578,"M4: Both Smooth","spline"
2015.57142857143,-0.091560060576652,NA,-0.153933392641778,-0.0287640561746101,"M4: Both Smooth","spline"
2016.63265306122,-0.0922899347706259,NA,-0.157380692246363,-0.0266986849518256,"M4: Both Smooth","spline"
2017.69387755102,-0.0926330314897186,NA,-0.160183936159545,-0.0243840181992487,"M4: Both Smooth","spline"
2018.75510204082,-0.092653813646411,NA,-0.162997203024862,-0.0216739867456255,"M4: Both Smooth","spline"
2019.81632653061,-0.0924167441531827,NA,-0.165707170274085,-0.0182628113369256,"M4: Both Smooth","spline"
2020.87755102041,-0.091986285922514,NA,-0.167857603697535,-0.0144460716838548,"M4: Both Smooth","spline"
2021.9387755102,-0.0914269018668854,NA,-0.170550503586383,-0.0100446525649009,"M4: Both Smooth","spline"
2023,-0.0908030548987759,NA,-0.174256090440088,-0.00576639422736314,"M4: Both Smooth","spline"
