"cohort","estimate","std_error","ci_lower_90","ci_upper_90","model","type"
1915.83673469388,-0.215470221237025,NA,-0.264842446308481,-0.166210878927504,"M3: Cohort Smooth","spline"
1918.28571428571,-0.191102184256207,NA,-0.238661490432714,-0.143791981113795,"M3: Cohort Smooth","spline"
1920.73469387755,-0.162789914890894,NA,-0.208463074357746,-0.117904135576246,"M3: Cohort Smooth","spline"
1923.18367346939,-0.131371341698341,NA,-0.175155138418555,-0.0885140252741863,"M3: Cohort Smooth","spline"
1925.63265306122,-0.0995597859164836,NA,-0.142193240364797,-0.0576140515135446,"M3: Cohort Smooth","spline"
1928.08163265306,-0.0702502292434435,NA,-0.11208042092157,-0.0291394908038942,"M3: Cohort Smooth","spline"
1930.5306122449,-0.0463376533773325,NA,-0.0869319227100234,-0.00671463793218985,"M3: Cohort Smooth","spline"
1932.97959183673,-0.0306323467866378,NA,-0.0688180295498855,0.0071256023656221,"M3: Cohort Smooth","spline"
1935.42857142857,-0.0226521486378437,NA,-0.0597190127235718,0.0141865678403574,"M3: Cohort Smooth","spline"
1937.87755102041,-0.0176378900009508,NA,-0.0550263451966821,0.0199734151967896,"M3: Cohort Smooth","spline"
1940.32653061224,-0.0105505429074828,NA,-0.0467141713850001,0.0256279713932499,"M3: Cohort Smooth","spline"
1942.77551020408,0,NA,-0.0329378583159246,0.0326366525501784,"M3: Cohort Smooth","spline"
1945.22448979592,0.0055627498028139,NA,-0.0259647210779774,0.0372824681020183,"M3: Cohort Smooth","spline"
1947.67346938776,-0.00395570785973476,NA,-0.0347615558424659,0.0267274070831367,"M3: Cohort Smooth","spline"
1950.12244897959,-0.033635718900483,NA,-0.0630234206464815,-0.00454109884275944,"M3: Cohort Smooth","spline"
1952.57142857143,-0.0586545418389144,NA,-0.0881326669305738,-0.0295017898129215,"M3: Cohort Smooth","spline"
1955.02040816327,-0.0623408093351694,NA,-0.0918528236302238,-0.0326777185471681,"M3: Cohort Smooth","spline"
1957.4693877551,-0.0659616768144957,NA,-0.0950030553295198,-0.0366547059871039,"M3: Cohort Smooth","spline"
1959.91836734694,-0.0766132844940484,NA,-0.104215436409343,-0.0486174178200103,"M3: Cohort Smooth","spline"
1962.36734693878,-0.0882232860428549,NA,-0.11735588868238,-0.0589847444876797,"M3: Cohort Smooth","spline"
1964.81632653061,-0.10056181098797,NA,-0.127310590450158,-0.0738725705389651,"M3: Cohort Smooth","spline"
1967.26530612245,-0.115116594813522,NA,-0.140097632675422,-0.0899186692265066,"M3: Cohort Smooth","spline"
1969.71428571429,-0.133219082429887,NA,-0.158211767268936,-0.107717807839308,"M3: Cohort Smooth","spline"
1972.16326530612,-0.154586639720834,NA,-0.178767818072518,-0.129908475436565,"M3: Cohort Smooth","spline"
1974.61224489796,-0.177984412551337,NA,-0.20141798604387,-0.154293462785225,"M3: Cohort Smooth","spline"
1977.0612244898,-0.20216523949076,NA,-0.225909003377284,-0.178227924308526,"M3: Cohort Smooth","spline"
1979.51020408163,-0.225881959108479,NA,-0.251376942557983,-0.199899610148697,"M3: Cohort Smooth","spline"
1981.95918367347,-0.248010907186885,NA,-0.275758181158424,-0.220052721284421,"M3: Cohort Smooth","spline"
1984.40816326531,-0.268341141098412,NA,-0.297038494951996,-0.239454255291273,"M3: Cohort Smooth","spline"
1986.85714285714,-0.287070802733643,NA,-0.31602938937903,-0.257736236543953,"M3: Cohort Smooth","spline"
1989.30612244898,-0.304399963627113,NA,-0.333720956406377,-0.274487977490785,"M3: Cohort Smooth","spline"
1991.75510204082,-0.320528695313362,NA,-0.351305846515688,-0.288774895805988,"M3: Cohort Smooth","spline"
1994.20408163265,-0.335657069326925,NA,-0.370177363915532,-0.300073492683222,"M3: Cohort Smooth","spline"
1996.65306122449,-0.34998515720234,NA,-0.390557387928076,-0.308871628742442,"M3: Cohort Smooth","spline"
1999.10204081633,-0.363713030474142,NA,-0.411788462062627,-0.31533054698402,"M3: Cohort Smooth","spline"
2001.55102040816,-0.377040760676872,NA,-0.434410016579602,-0.319834691787086,"M3: Cohort Smooth","spline"
2004,-0.390168419345064,NA,-0.457497890269901,-0.32310383704426,"M3: Cohort Smooth","spline"
1884,-0.434667360764726,NA,-0.649471430002935,-0.217363504788655,"M4: Both Smooth","spline"
1886.44897959184,-0.431309423459366,NA,-0.635162719959819,-0.22376775922696,"M4: Both Smooth","spline"
1888.89795918367,-0.427655442236321,NA,-0.62221944410567,-0.229239874612228,"M4: Both Smooth","spline"
1891.34693877551,-0.423409373177908,NA,-0.608079520783238,-0.235446956151771,"M4: Both Smooth","spline"
1893.79591836735,-0.418275172366445,NA,-0.593712773865749,-0.23909723415029,"M4: Both Smooth","spline"
1896.24489795918,-0.411956795884246,NA,-0.578272023035007,-0.242093561053587,"M4: Both Smooth","spline"
1898.69387755102,-0.404158199813626,NA,-0.563105946030538,-0.242803515292595,"M4: Both Smooth","spline"
1901.14285714286,-0.394583340236905,NA,-0.544806965935385,-0.241341415892945,"M4: Both Smooth","spline"
1903.59183673469,-0.382936173236395,NA,-0.524294663524243,-0.237276215471438,"M4: Both Smooth","spline"
