age_group,year,srh_cat,prop,se,survey
30-39,1999.5,Poor,0.0020121541207999047,0.0011338162870350884,NHANES
30-39,1999.5,Fair,0.08228023875353722,0.013306272264879907,NHANES
30-39,1999.5,Good,0.29235394683737,0.03030063583400544,NHANES
30-39,1999.5,Very Good,0.35874672569918326,0.021736295451901273,NHANES
30-39,1999.5,Excellent,0.2646069356905141,0.020530066525160432,NHANES
30-39,2001.5,Poor,0.01875918043897609,0.006906444805406484,NHANES
30-39,2001.5,Fair,0.08163993207625901,0.009490391769889068,NHANES
30-39,2001.5,Good,0.29685419125093543,0.020975024113415657,NHANES
30-39,2001.5,Very Good,0.3470907691682014,0.018147934195299007,NHANES
30-39,2001.5,Excellent,0.2556559280700016,0.018522524096099606,NHANES
30-39,2003.5,Poor,0.017564467199490622,0.005027009025279647,NHANES
30-39,2003.5,Fair,0.12156561356647844,0.009497689192697448,NHANES
30-39,2003.5,Good,0.2995717213387144,0.021705500678096783,NHANES
30-39,2003.5,Very Good,0.300246185717822,0.022162211638549395,NHANES
30-39,2003.5,Excellent,0.2610520140305158,0.01839165172981289,NHANES
30-39,2005.5,Poor,0.018444728362716382,0.004567080106227432,NHANES
30-39,2005.5,Fair,0.1048814845236493,0.011020377485409582,NHANES
30-39,2005.5,Good,0.32607873507921864,0.017799926843070888,NHANES
30-39,2005.5,Very Good,0.3407465062430417,0.020973381657503568,NHANES
30-39,2005.5,Excellent,0.20984854640934825,0.019490481617116924,NHANES
30-39,2007.5,Poor,0.021066594146577713,0.004892540696431683,NHANES
30-39,2007.5,Fair,0.12333959873091158,0.007877452235170461,NHANES
30-39,2007.5,Good,0.322844977655686,0.02382969694146293,NHANES
30-39,2007.5,Very Good,0.30464104512808254,0.0216181429661686,NHANES
30-39,2007.5,Excellent,0.22810778441929144,0.01815624323716741,NHANES
30-39,2009.5,Poor,0.011246355379417193,0.003687866522745671,NHANES
30-39,2009.5,Fair,0.13687036312121886,0.010707023028858655,NHANES
30-39,2009.5,Good,0.33890230441434344,0.01594916030535145,NHANES
30-39,2009.5,Very Good,0.3408648033349246,0.017072851952962195,NHANES
30-39,2009.5,Excellent,0.17211617375110122,0.019134840058358107,NHANES
30-39,2011.5,Poor,0.009907549420912142,0.003592424427820663,NHANES
30-39,2011.5,Fair,0.1244500339064794,0.014838839118858981,NHANES
30-39,2011.5,Good,0.35713968697338194,0.020565762011619942,NHANES
30-39,2011.5,Very Good,0.3184800834901662,0.024381863202711955,NHANES
30-39,2011.5,Excellent,0.19002264623385617,0.018318937174058355,NHANES
30-39,2013.5,Poor,0.014793450274818421,0.0031575652817706122,NHANES
30-39,2013.5,Fair,0.15990341776613595,0.01298060320123315,NHANES
30-39,2013.5,Good,0.37801646835999697,0.01888065486675461,NHANES
30-39,2013.5,Very Good,0.29476469315673026,0.01720642554608045,NHANES
30-39,2013.5,Excellent,0.15252197045278715,0.017261621276089635,NHANES
30-39,2015.5,Poor,0.019180489639726458,0.004167248004768204,NHANES
30-39,2015.5,Fair,0.16313330949539573,0.013097876879526668,NHANES
30-39,2015.5,Good,0.35925510444626985,0.01497458887411709,NHANES
30-39,2015.5,Very Good,0.3287831943449981,0.012051754437663062,NHANES
30-39,2015.5,Excellent,0.12964790214334942,0.011663776657984144,NHANES
30-39,2017.5,Poor,0.018803680531460393,0.004249907977490987,NHANES
30-39,2017.5,Fair,0.13034016162742534,0.014512449300548739,NHANES
30-39,2017.5,Good,0.3385686338719722,0.020234152964182607,NHANES
30-39,2017.5,Very Good,0.33134598657752934,0.02687966278475863,NHANES
30-39,2017.5,Excellent,0.18094153923051257,0.01877470933690613,NHANES
30-39,2018.5,Poor,0.0176884371100179,0.004444094736829791,NHANES
30-39,2018.5,Fair,0.13085422646683093,0.010789193812911062,NHANES
30-39,2018.5,Good,0.34556329355470067,0.01733310735843205,NHANES
30-39,2018.5,Very Good,0.3501616369482578,0.018565706014110058,NHANES
30-39,2018.5,Excellent,0.1557324063626328,0.016700048242710982,NHANES
30-39,2022,Poor,0.010990369003512834,0.0037558293779282946,NHANES
30-39,2022,Fair,0.11679830331152263,0.014893889263110166,NHANES
30-39,2022,Good,0.32313242604846615,0.023721158011182335,NHANES
30-39,2022,Very Good,0.37471212561693223,0.024971492956101085,NHANES
30-39,2022,Excellent,0.17436677603802794,0.014276661835424883,NHANES
40-49,1999.5,Poor,0.03370386433773989,0.00968731791019426,NHANES
40-49,1999.5,Fair,0.1512392192551364,0.015236763553352276,NHANES
40-49,1999.5,Good,0.27638334423684785,0.02334171164955776,NHANES
40-49,1999.5,Very Good,0.27702274207343186,0.02162240195955984,NHANES
40-49,1999.5,Excellent,0.26165083252873517,0.03377133143352998,NHANES
40-49,2001.5,Poor,0.0336647634149516,0.008783513400995249,NHANES
40-49,2001.5,Fair,0.11458027552859969,0.015398845136660106,NHANES
40-49,2001.5,Good,0.2814664303228448,0.015537329520100451,NHANES
