"cohort","estimate","std_error","ci_lower_90","ci_upper_90","prior"
1884,0.0286203603902745,0.100162357724893,-0.134468194100885,0.194049857666635,"Diffuse"
1888,0.00327986123303711,0.0730909446299152,-0.117420236879379,0.123060482759691,"Diffuse"
1892,-0.0610680109906092,0.0683635265836476,-0.174003560493104,0.0517631911762643,"Diffuse"
1896,-0.0834969858010224,0.0486924669990998,-0.163440070011189,-0.00270509453851069,"Diffuse"
1900,-0.17062427163396,0.0487274321719569,-0.251834558007641,-0.0912683416861606,"Diffuse"
1904,-0.136967916119814,0.0387126539610935,-0.200180028310524,-0.0736534471158612,"Diffuse"
1908,-0.0671303720777137,0.0372268009175883,-0.128273091951,-0.00611120838427907,"Diffuse"
1912,-0.0762765293752871,0.0336306767927406,-0.131802405325518,-0.0213875256241986,"Diffuse"
1916,-0.0685091854480525,0.0375270364944842,-0.130684494883976,-0.00752497176753407,"Diffuse"
1920,0.00424938087963248,0.0307953762049047,-0.0465973849016422,0.0548237812360247,"Diffuse"
1924,0.0681476649418285,0.0314584548079396,0.016233902846029,0.120181403778974,"Diffuse"
1928,0.0961991174385889,0.0292277473894202,0.0487842314647658,0.144281639307851,"Diffuse"
1932,0.107735024787082,0.0311946862470733,0.0573898391837077,0.159311107103716,"Diffuse"
1936,0.153480617185776,0.0277158879908991,0.107993749721969,0.198730723657983,"Diffuse"
1940,0.156294312782509,0.0295423425415643,0.107555216081712,0.205101939971156,"Diffuse"
1944,0.201302552816668,0.0263634972068228,0.15818518001324,0.244318714282458,"Diffuse"
1948,0.153347045808225,0.0269604815562752,0.109467389132443,0.198342399806101,"Diffuse"
1952,0.128045381581184,0.0259611216122701,0.0855590977515113,0.170624611830909,"Diffuse"
1956,0.111554442477297,0.027312949536823,0.0673177584609366,0.156853513111398,"Diffuse"
1960,0.0996025549020836,0.0270040530114489,0.0552783510766219,0.14364850922479,"Diffuse"
1964,0.0985298809387666,0.0301129557468309,0.0489356662794232,0.148483794378681,"Diffuse"
1968,0.061214612443557,0.028659704991192,0.0133779393369723,0.107773870051828,"Diffuse"
1972,0.0131076896601802,0.0301208071827908,-0.0366579064822081,0.0621581319361442,"Diffuse"
1976,0.0156690766253294,0.030623225520492,-0.0351776686482853,0.0646325406037982,"Diffuse"
1980,0.00336998092831829,0.0351919161233244,-0.0551857884368614,0.0608959824910742,"Diffuse"
1984,-0.0698452408821982,0.0333302287025687,-0.124383540189007,-0.0146254886947759,"Diffuse"
1988,-0.11049230648074,0.0368189635526427,-0.172019622989793,-0.0502837275195764,"Diffuse"
1992,-0.132690885606849,0.0381300536867282,-0.195844070465815,-0.0699034582734672,"Diffuse"
1996,-0.116341776686984,0.043366369923705,-0.188348882808316,-0.0444921524516366,"Diffuse"
2000,-0.181169823977369,0.0504914591461134,-0.26525665630878,-0.0983355835086059,"Diffuse"
2004,-0.202751236794548,0.0718541085914333,-0.324564549329252,-0.0871084692364812,"Diffuse"
NA,0.015596534618266,0.0049247732508221,0.0092013303393062,0.0246165452551339,"Diffuse"
