survey,cohort_index,cohort_midpoint,n_cells,estimate,ci_lower,ci_upper,se,p_value,rel_to_cbar,in_primary_region
NHIS,17,1974.5,6,-0.0261301054416454,-0.03449845762824102,-0.01776175325504978,0.00426956744214062,9.35411481332767e-10,18.83835838054074,TRUE
NHIS,18,1979.5,5,-0.0501717129352658,-0.05907575902570915,-0.04126766684482245,0.00454288065838946,2.346493679553789e-28,23.83835838054074,TRUE
NHIS,19,1984.5,4,-0.0423702466625502,-0.05228559282599211,-0.03245490049910829,0.00505885008338873,5.50327502486387e-17,28.83835838054074,FALSE
NHIS,20,1989.5,3,-0.0612226216806012,-0.07278933589101047,-0.04965590747019192,0.00590138480122922,3.2504481491829396e-25,33.83835838054074,FALSE
NHIS,21,1994.5,2,-0.0457627281320114,-0.06098779817228485,-0.03053765809173794,0.00776789287769054,3.83297065478712e-9,38.83835838054074,FALSE
NHIS,22,1999.5,1,-0.0488724457671092,-0.07125953046704743,-0.02648536106717098,0.0114219819897644,1.87905702210223e-5,43.83835838054074,FALSE
CPS,1,1909.5,1,-0.130088566365622,-0.16324150439826288,-0.09693562833298112,0.0169147643023678,1.46219544874981e-14,-54.24379777949048,FALSE
CPS,2,1914.5,2,-0.116340497338585,-0.13621485448730353,-0.09646614018986643,0.0101399781371013,1.7958071780673597e-30,-49.24379777949048,FALSE
CPS,3,1919.5,3,-0.098629074309349,-0.1101963096671519,-0.08706183895154611,0.00590165069275658,1.0753261886922098e-62,-44.24379777949048,FALSE
CPS,4,1924.5,4,-0.0668392428707889,-0.07632609849123201,-0.0573523872503458,0.00484023245940975,2.251790026495109e-43,-39.24379777949048,FALSE
CPS,5,1929.5,5,-0.0301138551957491,-0.0381494773208739,-0.02207823307062429,0.00409980720669633,2.0551128414741005e-13,-34.24379777949048,FALSE
CPS,6,1934.5,6,9.49527424584805e-5,-0.00706410354568116,0.00725400903059812,0.00365257973884676,0.979260469247282,-29.243797779490478,FALSE
CPS,7,1939.5,7,0.0407084992114134,0.03235298787805002,0.04906401054477678,0.00426301598640989,1.30744109543419e-21,-24.243797779490478,TRUE
CPS,8,1944.5,7,0.0636908175425554,0.05653313609256525,0.07084849899254554,0.0036518782908113,4.08577375663711e-68,-19.243797779490478,TRUE
CPS,9,1949.5,7,0.0501322066476959,0.04427507038445209,0.05598934291093972,0.00298833482818562,3.6780674245308603e-63,-14.243797779490478,TRUE
CPS,10,1954.5,7,0.0342871541616937,0.02904480506553307,0.03952950325785432,0.0026746679062044,1.28216473459792e-37,-9.243797779490478,TRUE
CPS,11,1959.5,7,0.0261209082243358,0.02118086015886808,0.03106095628980351,0.00252043268646312,3.630911884654459e-25,-4.243797779490478,TRUE
CPS,12,1964.5,7,0.0221730453471929,0.0173811848219728,0.02696490587241299,0.00244482679858168,1.19759572347472e-19,0.7562022205095218,TRUE
CPS,13,1969.5,7,0.0282791370431789,0.02349318901313069,0.0330650850732271,0.00244181021941235,5.137418066361789e-31,5.756202220509522,TRUE
CPS,14,1974.5,7,0.0146373890036734,0.01000181877098153,0.01927295923636527,0.00236508685341422,6.05750074782369e-10,10.756202220509522,TRUE
CPS,15,1979.5,6,-0.00965088839902127,-0.01456336161286645,-0.00473841518517608,0.00250636388461489,1.17853106259546e-4,15.756202220509522,TRUE
CPS,16,1984.5,5,-0.0282651153996811,-0.033666711264296,-0.0228635195350662,0.00275591625745658,1.11119403554869e-24,20.756202220509522,TRUE
CPS,17,1989.5,4,-0.0419157514478737,-0.04815660415226252,-0.03567489874348487,0.00318410852264736,1.41597766820826e-39,25.756202220509522,FALSE
CPS,18,1994.5,3,-0.0698835694428939,-0.07795799946174127,-0.06180913942404652,0.00411960715247315,1.5341988851396898e-64,30.756202220509522,FALSE
CPS,19,1999.5,2,-0.103560556948243,-0.1150547179762252,-0.0920663959202608,0.00586436787141949,8.688841112516057e-70,35.75620222050952,FALSE
CPS,20,2004.5,1,-0.100525049884991,-0.12123382342396125,-0.07981627634602076,0.0105657007851889,1.83075469659992e-21,40.75620222050952,FALSE
NHANES,1,1924.5,1,-0.172315180389341,-0.2520364349507774,-0.0925939258279046,0.0406741094701206,2.27352859642524e-5,-39.02959810235848,FALSE
NHANES,2,1929.5,2,-0.104409630574328,-0.16373434224918923,-0.04508491889946679,0.0302677100381945,5.61893419389371e-4,-34.02959810235848,FALSE
NHANES,3,1934.5,3,-0.0271703915276572,-0.07510002170658313,0.02075923865126873,0.0244538929484316,0.266535111253577,-29.029598102358477,FALSE
