survey,cohort_grid,estimate,ci_lower_90,ci_upper_90,n_bin,birth_year,rel_to_cbar,in_primary_region
CPS,1912,-0.104800295392422,-0.201999332026901,-0.00994168012594222,380,1913.482908744771,-51.32384459307127,FALSE
CPS,1916,-0.172629930833572,-0.25416901069059,-0.0921932101594434,945,1917.482908744771,-47.32384459307127,FALSE
CPS,1920,-0.20595062620875,-0.272734678674927,-0.139989109536603,2500,1921.482908744771,-43.32384459307127,FALSE
CPS,1924,-0.12992434123168,-0.194946798659231,-0.0657338734376537,1847,1925.482908744771,-39.32384459307127,FALSE
CPS,1928,-0.0906127624229143,-0.146060745298018,-0.0348044127159874,4638,1929.482908744771,-35.32384459307127,FALSE
CPS,1932,0.00684041186000492,-0.0455616572034555,0.0604759947069578,4018,1933.482908744771,-31.32384459307127,FALSE
CPS,1936,0.0367288799565146,-0.0114273085401977,0.0849148861398968,7079,1937.482908744771,-27.32384459307127,TRUE
CPS,1940,0.0681529016422005,0.0192769206979727,0.117023227648567,4557,1941.482908744771,-23.32384459307127,TRUE
CPS,1944,0.089220172137247,0.0470027771490436,0.13298910634559,11179,1945.482908744771,-19.32384459307127,TRUE
CPS,1948,0.106735848314638,0.0655802516329771,0.148760536016954,8813,1949.482908744771,-15.323844593071271,TRUE
CPS,1952,0.122286977907262,0.0835391393315424,0.162619941760513,16672,1953.482908744771,-11.323844593071271,TRUE
CPS,1956,0.110630425287609,0.0712652691341716,0.150713564061119,12513,1957.482908744771,-7.3238445930712714,TRUE
CPS,1960,0.105430763381882,0.067758024720692,0.145898474694682,20090,1961.482908744771,-3.3238445930712714,TRUE
CPS,1964,0.0654999351209636,0.0247591286654127,0.107252639312525,10268,1965.482908744771,0.6761554069287286,TRUE
CPS,1968,0.0908936471790667,0.0510663312242922,0.132985230350127,18970,1969.482908744771,4.6761554069287286,TRUE
CPS,1972,0.0795448110050445,0.0367306165173598,0.124125247230012,11846,1973.482908744771,8.676155406928729,TRUE
CPS,1976,0.0260863630394111,-0.0182475817302683,0.0719170202416325,16703,1977.482908744771,12.676155406928729,TRUE
CPS,1980,0.00942578914872414,-0.0378086804152137,0.0579540457005203,10370,1981.482908744771,16.67615540692873,TRUE
CPS,1984,0.00756304352507011,-0.0425025207572704,0.0581707380003155,12905,1985.482908744771,20.67615540692873,TRUE
CPS,1988,0.019251768332532702,-0.034850854086573,0.0748612223058401,8286,1989.482908744771,24.67615540692873,TRUE
CPS,1992,-0.0171995631770289,-0.0749997689359976,0.041044924667869,7029,1993.482908744771,28.67615540692873,FALSE
CPS,1996,-0.00195217290631937,-0.0658193619157111,0.0620689524871558,4339,1997.482908744771,32.67615540692873,FALSE
CPS,2000,-0.0488768692008625,-0.11802013306296,0.0205687313354165,2578,2001.482908744771,36.67615540692873,FALSE
CPS,2004,-0.0947424573755713,-0.170630239000982,-0.0190709252301853,1045,2005.482908744771,40.67615540692873,FALSE
NHANES,1916,-0.0231462401486133,-0.107936131766863,0.0546618072645775,129,1918.0278570196506,-45.77308371037725,FALSE
NHANES,1920,-0.137572091716525,-0.222358888412157,-0.059376983843568,630,1922.0278570196506,-41.77308371037725,FALSE
NHANES,1924,-0.0311258009299978,-0.0955678254765997,0.0283636983576426,863,1926.0278570196506,-37.77308371037725,FALSE
NHANES,1928,-0.0373976870340618,-0.0860962137496393,0.00815416802577075,2472,1930.0278570196506,-33.77308371037725,FALSE
NHANES,1932,0.00864724913565982,-0.0344420810388867,0.0528912889368153,2808,1934.0278570196506,-29.77308371037725,FALSE
NHANES,1936,-0.0060802454948547,-0.0446761858693869,0.0329594315055494,4147,1938.0278570196506,-25.77308371037725,TRUE
NHANES,1940,0.0315800991517177,-0.011809668492328,0.0773357930834318,2245,1942.0278570196506,-21.77308371037725,TRUE
NHANES,1944,0.0500596851236001,0.0144801643777863,0.0876560430497972,4732,1946.0278570196506,-17.77308371037725,TRUE
NHANES,1948,0.0365958186400065,3.26556432041222e-5,0.0756180010652098,4187,1950.0278570196506,-13.77308371037725,TRUE
NHANES,1952,0.0430092201971827,0.00947861381108009,0.0799030859197444,6254,1954.0278570196506,-9.77308371037725,TRUE
NHANES,1956,0.0487678270200463,0.0108411682343032,0.0888185150935966,3640,1958.0278570196506,-5.77308371037725,TRUE
NHANES,1960,0.0313785484623215,-0.00236513042592596,0.0680744293790491,6111,1962.0278570196506,-1.77308371037725,TRUE
NHANES,1964,0.0379097441037665,-9.9167307331776e-4,0.0796592738992549,3611,1966.0278570196506,2.22691628962275,TRUE
NHANES,1968,0.0432036045276688,0.0100179798633916,0.0788145759339877,5846,1970.0278570196506,6.22691628962275,TRUE
NHANES,1972,0.0506599277029946,0.0129511405981859,0.0907802090759032,3709,1974.0278570196506,10.22691628962275,TRUE
NHANES,1976,-0.0125414481149944,-0.0474397854796698,0.0234200301263785,5610,1978.0278570196506,14.22691628962275,TRUE
NHANES,1980,-0.0395199144542489,-0.0784790132540507,-0.00292190645457142,4119,1982.0278570196506,18.22691628962275,TRUE
NHANES,1984,-0.00280408529324174,-0.0397049661856356,0.0349062899657637,5270,1986.0278570196506,22.22691628962275,TRUE
NHANES,1988,-0.0382416204856558,-0.0799496603152991,0.00271984796970918,3790,1990.0278570196506,26.22691628962275,TRUE
NHANES,1992,-0.0445480436312884,-0.091589398022836,0.00155729921119768,2790,1994.0278570196506,30.22691628962275,FALSE
NHANES,1996,-0.0121949826700603,-0.0638664837631823,0.0389010934881829,1905,1998.0278570196506,34.22691628962275,FALSE
NHANES,2000,0.00122877231219781,-0.0637873911281388,0.0647704689174793,499,2002.0278570196506,38.22691628962275,FALSE
GSS,1884,0.0239623430837128,-0.139656167961877,0.191053943820093,24,1885.7194370694292,-66.38922727193858,FALSE
GSS,1888,-0.0243883532052594,-0.141664071721235,0.0952152044704171,100,1889.7194370694292,-62.38922727193858,FALSE
GSS,1892,-0.0915631989007238,-0.20557423099423,0.0226189890319594,115,1893.7194370694292,-58.38922727193858,FALSE
