age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
70-74,2015,72,2015,1943,2.751618261297446,0.08140592597882262,174
70-74,2020,72,2020,1948,2.8726559417549384,0.03991183718042949,775
75-79,1970,77,1970,1893,2.629531201664838,0.08618714274557346,127
75-79,1975,77,1975,1898,2.4313491637272877,0.09007209191125055,143
75-79,1980,77,1980,1903,2.4253614057071693,0.08620214106120379,151
75-79,1985,77,1985,1908,2.4934139128868744,0.06441075719560083,217
75-79,1990,77,1990,1913,2.533475649432514,0.07146055073765044,202
75-79,1995,77,1995,1918,2.583629471862337,0.07293814374200377,169
75-79,2000,77,2000,1923,2.5991475564059408,0.06509078853982692,199
75-79,2005,77,2005,1928,2.569019897109631,0.07703444594217819,169
75-79,2010,77,2010,1933,2.6277284137204915,0.10105864998160713,158
75-79,2015,77,2015,1938,2.8680389477199753,0.07494515599825978,154
75-79,2020,77,2020,1943,2.7987922708754986,0.053346600358978986,501
80-84,1970,82,1970,1888,2.5790819889205543,0.13241606323617222,55
80-84,1975,82,1975,1893,2.397014325906159,0.12020494106195918,71
80-84,1980,82,1980,1898,2.5192359799859023,0.09365051198515086,100
80-84,1985,82,1985,1903,2.5715496372639555,0.09902615236349767,104
80-84,1990,82,1990,1908,2.6626199799559815,0.08972147333704256,118
80-84,1995,82,1995,1913,2.69935142562693,0.08856980573158733,101
80-84,2000,82,2000,1918,2.5464093461871236,0.08197835605296219,138
80-84,2005,82,2005,1923,2.5869093308166904,0.09306843193465232,133
80-84,2010,82,2010,1928,2.7728576086046846,0.08992932737521743,101
80-84,2015,82,2015,1933,2.7221259393975292,0.10272555305888197,86
80-84,2020,82,2020,1938,2.8401685135580332,0.051333652352323345,284
