"year","age_group","stratum","mean_srh","n","dataset"
1998,"30-39","NH-White",3.93736473377315,24507,"BRFSS"
1998,"30-39","NH-Black",3.73379799970726,2886,"BRFSS"
1998,"30-39","NH-AIAN",3.66255775222487,404,"BRFSS"
1998,"30-39","NH-Asian/PI",3.85497581240698,747,"BRFSS"
1998,"30-39","Hispanic",3.54496357865478,3153,"BRFSS"
1998,"30-39","Other",3.86431294647402,355,"BRFSS"
1998,"40-49","NH-White",3.80676402165385,24675,"BRFSS"
1998,"40-49","NH-Black",3.44422386216718,2595,"BRFSS"
1998,"40-49","NH-AIAN",3.50726304154237,393,"BRFSS"
1998,"40-49","NH-Asian/PI",3.7828862976085,570,"BRFSS"
1998,"40-49","Hispanic",3.29682565717807,2267,"BRFSS"
1998,"40-49","Other",3.47423535570671,413,"BRFSS"
1998,"50-59","NH-White",3.62518247974884,18045,"BRFSS"
1998,"50-59","NH-Black",3.05728851412724,1607,"BRFSS"
1998,"50-59","NH-AIAN",3.2204349322224,230,"BRFSS"
1998,"50-59","NH-Asian/PI",3.62544438813247,296,"BRFSS"
1998,"50-59","Hispanic",3.00269332615897,1389,"BRFSS"
1998,"50-59","Other",3.33837126286085,295,"BRFSS"
1998,"60-69","NH-White",3.37812148902973,14092,"BRFSS"
1998,"60-69","NH-Black",2.88080948705803,1202,"BRFSS"
1998,"60-69","NH-AIAN",2.94813689647344,163,"BRFSS"
1998,"60-69","NH-Asian/PI",3.58926920594014,225,"BRFSS"
1998,"60-69","Hispanic",2.93289920818465,980,"BRFSS"
1998,"60-69","Other",3.23236369531308,195,"BRFSS"
1998,"70-79","NH-White",3.14485183839348,12264,"BRFSS"
1998,"70-79","NH-Black",2.77271630827613,786,"BRFSS"
1998,"70-79","NH-AIAN",2.85026310310366,69,"BRFSS"
1998,"70-79","NH-Asian/PI",3.35673831535215,140,"BRFSS"
1998,"70-79","Hispanic",2.80597679986536,599,"BRFSS"
1998,"70-79","Other",2.95162138902053,173,"BRFSS"
1998,"80-89","NH-White",3.00848271141714,5625,"BRFSS"
1998,"80-89","NH-Black",2.59883151379086,303,"BRFSS"
1998,"80-89","NH-AIAN",2.6264881950467,27,"BRFSS"
1998,"80-89","NH-Asian/PI",3.60451169624055,51,"BRFSS"
1998,"80-89","Hispanic",2.78632315170175,194,"BRFSS"
1998,"80-89","Other",3.01371922723978,128,"BRFSS"
1999,"18-29","NH-White",3.92301508310715,20154,"BRFSS"
1999,"18-29","NH-Black",3.68497745618984,2902,"BRFSS"
1999,"18-29","NH-AIAN",3.67013572311252,453,"BRFSS"
1999,"18-29","NH-Asian/PI",3.81754721163033,754,"BRFSS"
1999,"18-29","Hispanic",3.55634691847301,3571,"BRFSS"
1999,"18-29","Other",3.82537864430758,434,"BRFSS"
1999,"30-39","NH-White",3.92482409223872,25292,"BRFSS"
1999,"30-39","NH-Black",3.66693603261188,2961,"BRFSS"
1999,"30-39","NH-AIAN",3.54612287746517,559,"BRFSS"
1999,"30-39","NH-Asian/PI",3.87558263814363,696,"BRFSS"
1999,"30-39","Hispanic",3.38384203534836,3437,"BRFSS"
1999,"30-39","Other",3.72120049433596,430,"BRFSS"
