"dataset","year","model","model_name","r_squared","n"
"GSS",1980,1,"srh_age",0.081892997136626,1457
"GSS",1980,2,"srh_sex",0.00572208206693603,1457
"GSS",1980,3,"srh_age_sex",0.0885205995177287,1457
"GSS",1980,4,"srh_age_sex_interaction",0.0899469685089649,1457
"GSS",1982,1,"srh_age",0.0785964971403893,1845
"GSS",1982,2,"srh_sex",0.000315768231676561,1845
"GSS",1982,3,"srh_age_sex",0.0786696891943721,1845
"GSS",1982,4,"srh_age_sex_interaction",0.0787671007627463,1845
"GSS",1984,1,"srh_age",0.0684830229638462,1456
"GSS",1984,2,"srh_sex",0.00325696860004498,1456
"GSS",1984,3,"srh_age_sex",0.0706529573922722,1456
"GSS",1984,4,"srh_age_sex_interaction",0.0709747343501114,1456
"GSS",1985,1,"srh_age",0.0826604562372062,1523
"GSS",1985,2,"srh_sex",0.000265434894290539,1523
"GSS",1985,3,"srh_age_sex",0.0828589618162316,1523
"GSS",1985,4,"srh_age_sex_interaction",0.0831766787745185,1523
"GSS",1987,1,"srh_age",0.0966690670196169,1804
"GSS",1987,2,"srh_sex",0.0004700108135548,1804
"GSS",1987,3,"srh_age_sex",0.09689322102641,1804
"GSS",1987,4,"srh_age_sex_interaction",0.0978909313306867,1804
"GSS",1988,1,"srh_age",0.079854404904685,973
"GSS",1988,2,"srh_sex",0.0143715873189034,973
"GSS",1988,3,"srh_age_sex",0.0893709078863917,973
"GSS",1988,4,"srh_age_sex_interaction",0.0913752504928378,973
"GSS",1989,1,"srh_age",0.0804895393688655,1026
"GSS",1989,2,"srh_sex",0.00178960031767528,1026
"GSS",1989,3,"srh_age_sex",0.0810753738283078,1026
"GSS",1989,4,"srh_age_sex_interaction",0.0826734888239389,1026
"GSS",1990,1,"srh_age",0.0817701226628581,914
"GSS",1990,2,"srh_sex",0.000629596530033694,914
"GSS",1990,3,"srh_age_sex",0.0818966529083537,914
"GSS",1990,4,"srh_age_sex_interaction",0.0844002023833397,914
"GSS",1991,1,"srh_age",0.0806628972226683,987
"GSS",1991,2,"srh_sex",0.0132967217941824,987
"GSS",1991,3,"srh_age_sex",0.0899595206124938,987
"GSS",1991,4,"srh_age_sex_interaction",0.0909382209913283,987
"GSS",1993,1,"srh_age",0.0434448083301896,1067
