"dataset","year","stratum","beta_age","se","p_value","n"
"MEPS",2010,"Female",-0.0146250378971479,0.000611198841521879,1.94742686611345e-123,11147
"MEPS",2011,"Male",-0.0160288220537529,0.000657332677096169,1.10493811407191e-127,10168
"MEPS",2011,"Female",-0.0138528020362022,0.00060014750239938,2.25556080395841e-115,11973
"MEPS",2012,"Male",-0.0158425813733035,0.000673888711499837,2.1634354294317e-119,11444
"MEPS",2012,"Female",-0.011292043790048,0.00138600651875038,4.05407839470063e-16,13363
"MEPS",2013,"Male",-0.0161945162317827,0.000687778548084201,1.72589872361028e-119,10444
"MEPS",2013,"Female",-0.0131142850092535,0.000629562692250407,9.83119739274384e-95,12273
"MEPS",2014,"Male",-0.0157024335941952,0.00101455654812994,2.20847342569403e-53,9515
"MEPS",2014,"Female",-0.0138846923886233,0.000642620571674351,1.71108484226728e-101,11348
"MEPS",2015,"Male",-0.0159065611392565,0.000681237331676207,2.21836695178112e-117,9757
"MEPS",2015,"Female",-0.0125086577052953,0.000618758867060701,2.48960781143267e-89,11535
"MEPS",2016,"Male",-0.0116604300960237,0.00190229711093017,9.14675778140928e-10,9787
"MEPS",2016,"Female",-0.0131223549941585,0.000614275916054601,2.46801612059933e-99,11553
"MEPS",2017,"Male",-0.0173397034587604,0.000662492173573677,1.00161770044308e-145,9238
"MEPS",2017,"Female",-0.010646647904369,0.00203359087296395,1.67691233812058e-07,10926
"MEPS",2018,"Male",-0.016515289360651,0.000664256816983403,6.56664373148894e-132,8754
"MEPS",2018,"Female",-0.0146184803065494,0.000595107378764987,1.61714870193318e-129,10244
"MEPS",2019,"Male",-0.00794590461917378,0.0040911118727031,0.0521437412370929,7968
"MEPS",2019,"Female",-0.014302313213783,0.000619490843255813,9.93656032202313e-115,9315
"MEPS",2020,"Male",-0.0158934283845889,0.000786280609981422,4.64712799574774e-88,6249
"MEPS",2020,"Female",-0.0132234646849428,0.000707335569020202,2.7170001014162e-76,7631
"MEPS",2021,"Male",-0.00954210220660265,0.00326356470429092,0.00346912310421068,6710
"MEPS",2021,"Female",-0.0117515074978752,0.000727716442646924,8.94497887774295e-58,8230
"MEPS",2022,"Male",-0.0143944501446005,0.000955891835430129,3.97913605003775e-50,4887
"MEPS",2022,"Female",-0.0129995812861535,0.000878480211533107,1.110211133119e-48,5927
"MEPS",2023,"Male",-0.0119991678100961,0.000996016725348912,6.82775730835687e-33,4267
"MEPS",2023,"Female",-0.00792490086461902,0.00094344463178755,5.66307237271617e-17,5345
"NHIS",1983,"Male",-0.0235413480729794,0.00050128075736118,0,17524
"NHIS",1983,"Female",-0.0197095903225764,0.000442638485020177,0,20126
"NHIS",1984,"Male",-0.0187260769158774,0.00192457198400862,3.13914333512197e-22,6773
"NHIS",1984,"Female",-0.0122240475791038,0.00151204511006803,7.02497840636044e-16,9305
"NHIS",1985,"Male",-0.0226337092504642,0.000596937857321337,1.11485202012016e-299,14127
"NHIS",1985,"Female",-0.0193693719942304,0.000451519653537075,0,19401
"NHIS",1987,"Male",-0.0228214772138765,0.000514873822181266,0,18262
"NHIS",1987,"Female",-0.0185128022455771,0.000394961085467589,0,25700
"NHIS",1988,"Male",-0.0203489926738936,0.000510774314837614,0,18288
"NHIS",1988,"Female",-0.01857571684757,0.000396336181394994,0,25374
"NHIS",1989,"Male",-0.0218491677977588,0.000517932943085563,0,17837
"NHIS",1989,"Female",-0.0167913865145662,0.000418583072958076,0,24421
"NHIS",1990,"Male",-0.0202060770490997,0.000528587381928888,6.91264182923316e-307,17128
"NHIS",1990,"Female",-0.0173408614742693,0.000414647388336516,0,23871
"NHIS",1991,"Male",-0.0208938017918738,0.000514197182848631,0,18297
"NHIS",1991,"Female",-0.0169870785176635,0.000414067971734289,0,25338
"NHIS",1992,"Male",-0.0200692000793492,0.000708621127260324,6.73806205423295e-170,10155
"NHIS",1992,"Female",-0.016513548522958,0.000552843984708947,4.81741138608747e-190,13845
"NHIS",1993,"Male",-0.0198998864409651,0.000463887677671013,0,20575
"NHIS",1993,"Female",-0.0168633745715066,0.000421696313387256,0,23669
"NHIS",1997,"Male",-0.0199165493959485,0.000539329581298276,3.56663215101178e-286,15483
"NHIS",1997,"Female",-0.0183583462860364,0.000450654961999337,0,20598
"NHIS",1998,"Male",-0.0192553874843658,0.000576149519211296,8.39090726800441e-236,14192
"NHIS",1998,"Female",-0.019395545290337,0.000487935692511705,0,18218
"NHIS",1999,"Male",-0.0196023261991095,0.000579680863131703,1.84961840605034e-240,13184
"NHIS",1999,"Female",-0.019035106438109,0.000479977315715869,0,17579
"NHIS",2000,"Male",-0.0204219381476868,0.000575839246082198,7.25816205664355e-264,13969
"NHIS",2000,"Female",-0.0192139976969171,0.000461194890017487,0,18373
"NHIS",2001,"Male",-0.0208864780251353,0.000573345086961933,4.39168763626947e-278,14475
"NHIS",2001,"Female",-0.0183411961632208,0.000478089701052422,4.30212052865989e-310,18810
"NHIS",2002,"Male",-0.0209750368239008,0.00058504025674491,5.77113920169198e-269,13488
"NHIS",2002,"Female",-0.0180662187497945,0.000489557614661888,3.67280789354263e-287,17515
"NHIS",2003,"Male",-0.0203431769264655,0.000584062170430009,1.55502675060954e-254,13405
"NHIS",2003,"Female",-0.0178729436608068,0.000501857807146548,3.33265370785776e-268,17410
"NHIS",2004,"Male",-0.0210589946629098,0.00057189677931622,2.62418434007417e-283,13890
"NHIS",2004,"Female",-0.0180560700824645,0.000483620504641772,1.4672763212755e-293,17414
"NHIS",2005,"Male",-0.019626759329612,0.000570185509195763,3.80660935422417e-249,13754
"NHIS",2005,"Female",-0.0180932328595206,0.000499673383488405,5.202797317944e-277,17659
"NHIS",2006,"Male",-0.0196060937107976,0.000666104234549482,3.51106011998385e-183,10710
"NHIS",2006,"Female",-0.0171068277075538,0.000575287558930218,2.75041970905888e-188,13547
"NHIS",2007,"Male",-0.0195302759068903,0.000703718137175709,1.39125888271542e-163,10367
"NHIS",2007,"Female",-0.0180783470282469,0.000586432924348157,1.79046949123554e-201,13011
"NHIS",2008,"Male",-0.0190005381465013,0.00072863682819005,7.62921509078437e-145,9507
