"dataset","year","stratum","beta_age","se","p_value","n"
"BRFSS",2010,"Hispanic",-0.0190601716054481,0.00067797218584107,9.26398593460459e-172,31239
"BRFSS",2010,"Other",-0.0147497302972706,0.00124306992175541,3.3735157313153e-32,7817
"BRFSS",2011,"NH-White",-0.0124160969982611,0.000175382462162969,0,389945
"BRFSS",2011,"NH-Black",-0.0176080493309181,0.000573884075382978,2.30406163893801e-204,40057
"BRFSS",2011,"NH-AIAN",-0.0182301592139813,0.00176449873110965,7.65582959250316e-25,6968
"BRFSS",2011,"NH-Asian/PI",-0.0129833719861926,0.00120442950963179,6.20054951265524e-27,9267
"BRFSS",2011,"Hispanic",-0.0179946100104528,0.000577712209326501,2.29125735356077e-210,38318
"BRFSS",2011,"Other",-0.0160779424439206,0.0009982812285133,6.75684309080433e-58,15746
"BRFSS",2012,"NH-White",-0.0118724417473638,0.000177641326704285,0,361576
"BRFSS",2012,"NH-Black",-0.0178936632019449,0.000617554194375729,1.11729318499928e-182,39491
"BRFSS",2012,"NH-AIAN",-0.0177278385994931,0.00183654339328795,6.60235172444398e-22,6812
"BRFSS",2012,"NH-Asian/PI",-0.0121865553867086,0.00132308142396378,3.95070531718416e-20,9216
"BRFSS",2012,"Hispanic",-0.0178053169104659,0.00061481832560471,2.70295684478943e-182,35670
"BRFSS",2012,"Other",-0.0152862476416272,0.000949652440083718,7.51602100540099e-58,16301
"BRFSS",2013,"NH-White",-0.011344421256787,0.000167532082012991,0,373367
"BRFSS",2013,"NH-Black",-0.0179149318236738,0.000560012723421155,1.20519802322814e-221,38507
"BRFSS",2013,"NH-AIAN",-0.0180037412410162,0.00166839085779056,5.9630330291061e-27,7546
"BRFSS",2013,"NH-Asian/PI",-0.0120031018747279,0.00124052984156097,4.85288822618541e-22,9305
"BRFSS",2013,"Hispanic",-0.0181323900368243,0.000651695175191479,1.29066718209822e-168,36620
"BRFSS",2013,"Other",-0.0133076479285436,0.000842110876047676,7.17204708401494e-56,17726
"BRFSS",2014,"NH-White",-0.0111614426081844,0.000173757935631327,0,356309
"BRFSS",2014,"NH-Black",-0.017410723694957,0.000589569608151345,2.60691492432485e-189,34524
"BRFSS",2014,"NH-AIAN",-0.0163192642450098,0.00156522466963289,2.88238261662971e-25,7002
"BRFSS",2014,"NH-Asian/PI",-0.00878991656884746,0.00123264394088671,1.07323102115546e-12,9062
"BRFSS",2014,"Hispanic",-0.019134536581217,0.000604683217818467,1.01924319059272e-216,35165
"BRFSS",2014,"Other",-0.0150372427279645,0.000925452709410001,6.76333410225211e-59,16026
"BRFSS",2015,"NH-White",-0.01080365546686,0.000178574389376873,0,328144
"BRFSS",2015,"NH-Black",-0.0178266827380982,0.000569798686032096,8.63405765393542e-212,33239
"BRFSS",2015,"NH-AIAN",-0.0174163785160826,0.00155866647633154,1.00588531011304e-28,6424
"BRFSS",2015,"NH-Asian/PI",-0.0101485173292866,0.00122149517761107,1.08853620805125e-16,10685
"BRFSS",2015,"Hispanic",-0.01903876542991,0.000600372878450121,1.46756905692164e-217,34430
"BRFSS",2015,"Other",-0.0128318327474401,0.000878511605635389,5.21563917034332e-48,15993
"BRFSS",2016,"NH-White",-0.01070293172041,0.00017429600908578,0,360268
"BRFSS",2016,"NH-Black",-0.0164132397855935,0.000577217939635808,4.97814084925858e-176,38459
"BRFSS",2016,"NH-AIAN",-0.0150879791645178,0.00144754116276353,2.96958750663889e-25,7018
"BRFSS",2016,"NH-Asian/PI",-0.01251486161555,0.00120523247520526,3.76208128066176e-25,11923
"BRFSS",2016,"Hispanic",-0.0194900525059782,0.000582177404204723,2.63755684616504e-242,39254
"BRFSS",2016,"Other",-0.0127829399375988,0.000843118418313619,1.30002421948943e-51,18487
"BRFSS",2017,"NH-White",-0.00972655174418795,0.000192061361216617,0,338244
"BRFSS",2017,"NH-Black",-0.0164836995990269,0.000571482348540404,7.56764636060496e-181,35390
"BRFSS",2017,"NH-AIAN",-0.0148414299007007,0.00178930042801195,1.26295465947819e-16,8225
"BRFSS",2017,"NH-Asian/PI",-0.00854798710268642,0.00143543379887882,2.69018815145427e-09,9818
"BRFSS",2017,"Hispanic",-0.018129006581416,0.000658852490298471,5.29273958076099e-165,36843
"BRFSS",2017,"Other",-0.0124756388737891,0.00110116736840925,1.2062059740781e-29,16531
"BRFSS",2018,"NH-White",-0.0096601023057958,0.000191192189518943,0,317748
"BRFSS",2018,"NH-Black",-0.0172691802306023,0.000585070194581755,4.31299119650593e-189,34037
"BRFSS",2018,"NH-AIAN",-0.0141735931835093,0.00165673548306569,1.40192222319066e-17,7832
"BRFSS",2018,"NH-Asian/PI",-0.00872313034813097,0.00142927298834635,1.078764193917e-09,9880
"BRFSS",2018,"Hispanic",-0.0188118037233908,0.000670076657620859,1.71719498094476e-171,34557
"BRFSS",2018,"Other",-0.0123682933440351,0.000941097971356888,2.94254937586299e-39,16756
"BRFSS",2019,"NH-White",-0.00912647334114354,0.000179504734076681,0,309455
