"year","age_group","stratum","mean_srh","n","dataset"
2008,"60-69","Male",3.31534551709855,30469,"BRFSS"
2008,"70-79","Female",3.10844016065717,35471,"BRFSS"
2008,"70-79","Male",3.14396051442245,19529,"BRFSS"
2008,"80-89","Female",3.00359173690989,21811,"BRFSS"
2008,"80-89","Male",2.96351756974953,9483,"BRFSS"
2009,"18-29","Female",3.71153236265814,16846,"BRFSS"
2009,"18-29","Male",3.79790232674995,11493,"BRFSS"
2009,"30-39","Female",3.74794158278837,31511,"BRFSS"
2009,"30-39","Male",3.748396226484,18510,"BRFSS"
2009,"40-49","Female",3.6248897640846,43405,"BRFSS"
2009,"40-49","Male",3.62349026491057,28224,"BRFSS"
2009,"50-59","Female",3.43330213802815,57293,"BRFSS"
2009,"50-59","Male",3.44157475672148,37320,"BRFSS"
2009,"60-69","Female",3.31937139758004,52819,"BRFSS"
2009,"60-69","Male",3.32739885628987,34088,"BRFSS"
2009,"70-79","Female",3.12243950193305,38346,"BRFSS"
2009,"70-79","Male",3.15747581860956,21686,"BRFSS"
2009,"80-89","Female",3.00860696106802,24139,"BRFSS"
2009,"80-89","Male",2.98272734538332,10860,"BRFSS"
2010,"18-29","Female",3.72913740540233,15374,"BRFSS"
2010,"18-29","Male",3.81510975640786,10725,"BRFSS"
2010,"30-39","Female",3.73811316333063,30191,"BRFSS"
2010,"30-39","Male",3.73576013332412,17752,"BRFSS"
2010,"40-49","Female",3.60833737457786,42807,"BRFSS"
2010,"40-49","Male",3.63862690466029,27410,"BRFSS"
2010,"50-59","Female",3.42553034267382,59037,"BRFSS"
2010,"50-59","Male",3.44082799994325,37825,"BRFSS"
2010,"60-69","Female",3.33030163919264,58863,"BRFSS"
2010,"60-69","Male",3.30049013507478,37549,"BRFSS"
2010,"70-79","Female",3.12760327220461,42268,"BRFSS"
2010,"70-79","Male",3.17834145022178,24115,"BRFSS"
2010,"80-89","Female",3.00295066058327,26832,"BRFSS"
2010,"80-89","Male",3.02012170217844,12063,"BRFSS"
2011,"18-29","Female",3.6814457915069,24390,"BRFSS"
2011,"18-29","Male",3.77753355434806,20426,"BRFSS"
2011,"30-39","Female",3.63124857468985,34461,"BRFSS"
2011,"30-39","Male",3.64341116382101,22978,"BRFSS"
2011,"40-49","Female",3.53329880242754,44948,"BRFSS"
2011,"40-49","Male",3.51738832070295,30997,"BRFSS"
2011,"50-59","Female",3.3447643532605,63140,"BRFSS"
2011,"50-59","Male",3.32736681240426,42367,"BRFSS"
2011,"60-69","Female",3.25736789765286,62900,"BRFSS"
2011,"60-69","Male",3.21555406781052,41550,"BRFSS"
2011,"70-79","Female",3.1330624330597,44821,"BRFSS"
2011,"70-79","Male",3.11779375259674,25540,"BRFSS"
2011,"80-89","Female",3.01195208065468,28908,"BRFSS"
2011,"80-89","Male",2.97637658817509,12875,"BRFSS"
2012,"18-29","Female",3.68759393362669,24413,"BRFSS"
2012,"18-29","Male",3.80268430691819,21923,"BRFSS"
2012,"30-39","Female",3.61684668894566,31229,"BRFSS"
2012,"30-39","Male",3.6442183264359,22539,"BRFSS"
2012,"40-49","Female",3.51732778976203,39566,"BRFSS"
2012,"40-49","Male",3.49859926355585,29008,"BRFSS"
2012,"50-59","Female",3.37672465928453,57125,"BRFSS"
2012,"50-59","Male",3.31424346180448,39826,"BRFSS"
2012,"60-69","Female",3.29435142402697,58820,"BRFSS"
2012,"60-69","Male",3.22953419701588,39966,"BRFSS"
2012,"70-79","Female",3.16383530990497,41532,"BRFSS"
2012,"70-79","Male",3.16612930574992,24038,"BRFSS"
2012,"80-89","Female",3.0384770831778,26733,"BRFSS"
2012,"80-89","Male",3.00055933209993,12348,"BRFSS"
2013,"18-29","Female",3.68071941453854,25568,"BRFSS"
2013,"18-29","Male",3.79854067653571,24086,"BRFSS"
2013,"30-39","Female",3.60782683061654,31493,"BRFSS"
2013,"30-39","Male",3.65634547639383,23315,"BRFSS"
2013,"40-49","Female",3.48142066754673,38260,"BRFSS"
2013,"40-49","Male",3.49503498001608,28911,"BRFSS"
2013,"50-59","Female",3.33631399584823,57934,"BRFSS"
2013,"50-59","Male",3.33527640050385,41063,"BRFSS"
2013,"60-69","Female",3.28817044722237,60907,"BRFSS"
2013,"60-69","Male",3.24523462258693,41964,"BRFSS"
2013,"70-79","Female",3.18594092149036,43764,"BRFSS"
2013,"70-79","Male",3.19175071975508,25719,"BRFSS"
2013,"80-89","Female",3.03523326645926,27098,"BRFSS"
2013,"80-89","Male",3.02434929868771,12989,"BRFSS"
2014,"18-29","Female",3.70685145941107,22302,"BRFSS"
2014,"18-29","Male",3.80935252842026,21681,"BRFSS"
2014,"30-39","Female",3.59971830980265,28024,"BRFSS"
2014,"30-39","Male",3.65125676481444,21127,"BRFSS"
2014,"40-49","Female",3.48524102116758,34936,"BRFSS"
2014,"40-49","Male",3.51674163450522,26284,"BRFSS"
2014,"50-59","Female",3.35116852153389,53391,"BRFSS"
2014,"50-59","Male",3.33656621694784,39209,"BRFSS"
2014,"60-69","Female",3.28704462613343,59985,"BRFSS"
2014,"60-69","Male",3.25380767064249,43148,"BRFSS"
2014,"70-79","Female",3.18331472815884,42982,"BRFSS"
2014,"70-79","Male",3.21929823123793,26304,"BRFSS"
2014,"80-89","Female",3.05703061640934,25994,"BRFSS"
2014,"80-89","Male",3.06083433866759,12721,"BRFSS"
2015,"18-29","Female",3.69097067628651,21513,"BRFSS"
2015,"18-29","Male",3.807448100356,21347,"BRFSS"
2015,"30-39","Female",3.623036791719,25758,"BRFSS"
2015,"30-39","Male",3.66170034238048,20575,"BRFSS"
2015,"40-49","Female",3.479156126013,30956,"BRFSS"
2015,"40-49","Male",3.4973374082233,24268,"BRFSS"
2015,"50-59","Female",3.34866522246851,48559,"BRFSS"
2015,"50-59","Male",3.33250729663004,36138,"BRFSS"
2015,"60-69","Female",3.30463432209532,56217,"BRFSS"
2015,"60-69","Male",3.23775328382104,41461,"BRFSS"
2015,"70-79","Female",3.19436419584138,40142,"BRFSS"
2015,"70-79","Male",3.21763380608268,25653,"BRFSS"
2015,"80-89","Female",3.06266984656083,24120,"BRFSS"
2015,"80-89","Male",3.08269056966393,12208,"BRFSS"
2016,"18-29","Female",3.70732189642153,24099,"BRFSS"
2016,"18-29","Male",3.80550627011339,25518,"BRFSS"
2016,"30-39","Female",3.60228710370552,28307,"BRFSS"
2016,"30-39","Male",3.6423463483019,24192,"BRFSS"
2016,"40-49","Female",3.46912247915353,32868,"BRFSS"
2016,"40-49","Male",3.49141032305902,26905,"BRFSS"
2016,"50-59","Female",3.33179073275907,50808,"BRFSS"
2016,"50-59","Male",3.33838447780179,40081,"BRFSS"
2016,"60-69","Female",3.2617926819927,62354,"BRFSS"
2016,"60-69","Male",3.24819611402117,47046,"BRFSS"
2016,"70-79","Female",3.19901460644464,44701,"BRFSS"
2016,"70-79","Male",3.22541180045418,29480,"BRFSS"
2016,"80-89","Female",3.07240053187586,25603,"BRFSS"
2016,"80-89","Male",3.0789741570973,13405,"BRFSS"
2017,"18-29","Female",3.66252086130126,23367,"BRFSS"
2017,"18-29","Male",3.74668715163599,25329,"BRFSS"
2017,"30-39","Female",3.56478663141029,27010,"BRFSS"
2017,"30-39","Male",3.62479145907946,24210,"BRFSS"
2017,"40-49","Female",3.43215528155655,30298,"BRFSS"
2017,"40-49","Male",3.46370090356333,25341,"BRFSS"
2017,"50-59","Female",3.29594213722955,45769,"BRFSS"
